Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,URL,WikiWordCount,external_urls,followers,genres,popularity
73,5.8912426689999995,Brenda Lee,Everybody Loves Me But You,1962,205080,https://en.wikipedia.org/wiki/Brenda_Lee,2547.0,https://open.spotify.com/artist/4cPHsZM98sKzmV26wlwD2W,56596.0,adult standards|brill building pop|bubblegum pop|christmas|country christmas|cowboy western|easy listening|lounge|merseybeat|nashville sound|rock-and-roll|rockabilly|traditional country|vocal jazz,72.0
62,6.5617772720000005,Brenda Lee,Losing You,1963,306511,https://en.wikipedia.org/wiki/Brenda_Lee,2547.0,https://open.spotify.com/artist/4cPHsZM98sKzmV26wlwD2W,56596.0,adult standards|brill building pop|bubblegum pop|christmas|country christmas|cowboy western|easy listening|lounge|merseybeat|nashville sound|rock-and-roll|rockabilly|traditional country|vocal jazz,72.0
79,5.59198657,Brenda Lee,Too Many Rivers,1965,163530,https://en.wikipedia.org/wiki/Brenda_Lee,2547.0,https://open.spotify.com/artist/4cPHsZM98sKzmV26wlwD2W,56596.0,adult standards|brill building pop|bubblegum pop|christmas|country christmas|cowboy western|easy listening|lounge|merseybeat|nashville sound|rock-and-roll|rockabilly|traditional country|vocal jazz,72.0
70,6.056689273,Brenda Lee,Coming On Strong,1966,69312,https://en.wikipedia.org/wiki/Brenda_Lee,2547.0,https://open.spotify.com/artist/4cPHsZM98sKzmV26wlwD2W,56596.0,adult standards|brill building pop|bubblegum pop|christmas|country christmas|cowboy western|easy listening|lounge|merseybeat|nashville sound|rock-and-roll|rockabilly|traditional country|vocal jazz,72.0
7,27.68441135,Elvis Presley,It's Now Or Never,1960,11766868,https://en.wikipedia.org/wiki/Elvis_Presley,19546.0,https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE,1736017.0,christmas|rock|rock-and-roll|rockabilly,83.0
9,23.45308318,Elvis Presley,Stuck On You,1960,6695034,https://en.wikipedia.org/wiki/Elvis_Presley,19546.0,https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE,1736017.0,christmas|rock|rock-and-roll|rockabilly,83.0
39,8.910403257999999,Elvis Presley,Little Sister,1961,3356388,https://en.wikipedia.org/wiki/Elvis_Presley,19546.0,https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE,1736017.0,christmas|rock|rock-and-roll|rockabilly,83.0
51,7.464550900000001,Elvis Presley,Surrender,1961,4599587,https://en.wikipedia.org/wiki/Elvis_Presley,19546.0,https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE,1736017.0,christmas|rock|rock-and-roll|rockabilly,83.0
71,6.000251992999999,Elvis Presley,(Marie's The Name) His Latest Flame,1961,6579517,https://en.wikipedia.org/wiki/Elvis_Presley,19546.0,https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE,1736017.0,christmas|rock|rock-and-roll|rockabilly,83.0
96,4.917008807,Elvis Presley,Are You Lonesome Tonight?,1961,11573507,https://en.wikipedia.org/wiki/Elvis_Presley,19546.0,https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE,1736017.0,christmas|rock|rock-and-roll|rockabilly,83.0
20,13.84586851,Elvis Presley,Good Luck Charm,1962,5263250,https://en.wikipedia.org/wiki/Elvis_Presley,19546.0,https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE,1736017.0,christmas|rock|rock-and-roll|rockabilly,83.0
57,6.9362157810000005,Elvis Presley,Can't Help Falling In Love,1962,105024049,https://en.wikipedia.org/wiki/Elvis_Presley,19546.0,https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE,1736017.0,christmas|rock|rock-and-roll|rockabilly,83.0
69,6.114481004,Elvis Presley,(You're the) Devil in Disguise,1963,16593049,https://en.wikipedia.org/wiki/Elvis_Presley,19546.0,https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE,1736017.0,christmas|rock|rock-and-roll|rockabilly,83.0
