Artist,URL,WikiWordCount
The Miracles,https://en.wikipedia.org/wiki/The_Miracles,5611
Gene Mcdaniels,https://en.wikipedia.org/wiki/Gene_McDaniels,909
Dick and Dee Dee,https://en.wikipedia.org/wiki/Dick_and_Dee_Dee,1038
Floyd Cramer,https://en.wikipedia.org/wiki/Floyd_Cramer,964
Gary U.S. Bonds,https://en.wikipedia.org/wiki/Gary_U.S._Bonds,753
Barry Mann,https://en.wikipedia.org/wiki/Barry_Mann,737
Chris Kenner,https://en.wikipedia.org/wiki/Chris_Kenner,391
Jorgen Ingmann,https://en.wikipedia.org/wiki/J%C3%B8rgen_Ingmann,524
Linda Scott,https://en.wikipedia.org/wiki/Linda_Scott,577
Ferlin Husky,https://en.wikipedia.org/wiki/Ferlin_Husky,1059
Marcels,https://en.wikipedia.org/wiki/The_Marcels,302
Shep and The Limelites,https://en.wikipedia.org/wiki/Shep_and_the_Limelites,511
Troy Shondell,https://en.wikipedia.org/wiki/Troy_Shondell,793
"Clarence ""Frogman"" Henry",https://en.wikipedia.org/wiki/Clarence_%22Frogman%22_Henry,553
Kokomo,https://en.wikipedia.org/wiki/Jimmy_Wisner,438
Faron Young,https://en.wikipedia.org/wiki/Faron_Young,1733
Dion,https://en.wikipedia.org/wiki/Dion_DiMucci,3245
Arthur Lyman,https://en.wikipedia.org/wiki/Arthur_Lyman,1800
Timi Yuro,https://en.wikipedia.org/wiki/Timi_Yuro,1329
The Capris,https://en.wikipedia.org/wiki/The_Capris,562
The Paris Sisters,https://en.wikipedia.org/wiki/The_Paris_Sisters,315
Lee Dorsey,https://en.wikipedia.org/wiki/Lee_Dorsey,752
Bob Moore,https://en.wikipedia.org/wiki/Bob_Moore,611
Ral Donner,https://en.wikipedia.org/wiki/Ral_Donner,411
The Lettermen,https://en.wikipedia.org/wiki/The_Lettermen,1932
Pat Boone,https://en.wikipedia.org/wiki/Pat_Boone,4138
Adam Wade,https://en.wikipedia.org/wiki/Adam_Wade_(singer),531
Carla Thomas,https://en.wikipedia.org/wiki/Carla_Thomas,1161
Ben E. King,https://en.wikipedia.org/wiki/Ben_E._King,1450
Ike and Tina Turner,https://en.wikipedia.org/wiki/Ike_%26_Tina_Turner,3574
The Echoes,https://en.wikipedia.org/wiki/The_Echoes,2474
Buzz Clifford,https://en.wikipedia.org/wiki/Buzz_Clifford,544
Little Caesar and The Romans,https://en.wikipedia.org/wiki/Little_Caesar_%26_the_Romans,346
Bert Kaempfert,https://en.wikipedia.org/wiki/Bert_Kaempfert,2099
Tony Orlando,https://en.wikipedia.org/wiki/Tony_Orlando,2129
Rosie and The Originals,https://en.wikipedia.org/wiki/Rosie_and_the_Originals,827
Curtis Lee,https://en.wikipedia.org/wiki/Jamie_Lee_Curtis,1967
Lonnie Donegan,https://en.wikipedia.org/wiki/Lonnie_Donegan,2450
Matt Monro,https://en.wikipedia.org/wiki/Matt_Monro,1698
Jimmy Dean,https://en.wikipedia.org/wiki/Jimmy_Dean,1804
Eddie Hodges,https://en.wikipedia.org/wiki/Eddie_Hodges,688
Dave Brubeck,https://en.wikipedia.org/wiki/Dave_Brubeck,3623
Don Gibson,https://en.wikipedia.org/wiki/Don_Gibson,648
Acker Bilk,https://en.wikipedia.org/wiki/Acker_Bilk,1265
Dee Dee Sharp,https://en.wikipedia.org/wiki/Dee_Dee_Sharp,557
Bobby Vinton,https://en.wikipedia.org/wiki/Bobby_Vinton,1732
David Rose,https://en.wikipedia.org/wiki/David_Rose_(songwriter),1104
Shelley Fabares,https://en.wikipedia.org/wiki/Shelley_Fabares,741
Little Eva,https://en.wikipedia.org/wiki/Little_Eva,924
The Sensations,https://en.wikipedia.org/wiki/The_Sensations,233
Bruce Channel,https://en.wikipedia.org/wiki/Bruce_Channel,589
Gene Chandler,https://en.wikipedia.org/wiki/Gene_Chandler,1289
Freddy Cannon,https://en.wikipedia.org/wiki/Freddy_Cannon,1289
Claude King,https://en.wikipedia.org/wiki/Claude_King,1100
Mary Wells,https://en.wikipedia.org/wiki/Mary_Wells,2824
Kenny Ball,https://en.wikipedia.org/wiki/Kenny_Ball,1531
Tommy Roe,https://en.wikipedia.org/wiki/Tommy_Roe,711
The Orlons,https://en.wikipedia.org/wiki/The_Orlons,858
Joey Dee and The Starliters,https://en.wikipedia.org/wiki/Joey_Dee_and_the_Starliters,1048
