,Rank,RankPowerlaw,Artist_x,Title,Year,SpotifyPlayCount,WikiWordCount,Yeargetawards,Awards,Artist_y,Awardscore
913,11,20.54380234,Jeannie C. Riley,Harper Valley P.T.A.,1968,2780119,1067,1968,"Best Country Vocal Performance, Female",Jeannie C. Riley,1
474,36,9.393779234,Johnny Cash,A Boy Named Sue,1969,28269065,8874,1969,"Best Country Vocal Performance, Male",Johnny Cash,1
584,3,48.42838339,Bobby Goldsboro,A Taste Of Honey,1968,3169958,618,1965,Best Engineered Recording - Non-Classical,Larry Levine,1
108,34,9.754924552,Jackie Wilson,Strangers In The Night,1960,81660,4542,1966,Best Engineered Recording - Non-Classical,Eddie Brackett,1
741,15,16.74093727,Frank Sinatra,Strangers In The Night,1966,21956408,15799,1966,Best Engineered Recording - Non-Classical,Eddie Brackett,1
379,17,15.41358678,"Peter, Paul and Mary",Blowin' In The Wind,1963,2388954,1386,1963,Best Folk Recording,Peter,1
376,98,4.850547815,"Peter, Paul and Mary",If I Had A Hammer,1962,650774,1386,1962,Best Folk Recording,Peter,1
439,37,9.225435188,Trini Lopez,If I Had A Hammer,1963,975647,1331,1962,Best Folk Recording,Peter,1
508,8,25.34898699,Gale Garnett,We'll Sing In The Sunshine,1964,211353,1522,1964,Best Folk Recording,Gale Garnett,1
583,3,48.42838339,Bobby Goldsboro,A Taste Of Honey,1968,3169958,618,1965,Best Instrumental Arrangement,Herb Alpert,1
549,44,8.228510611,Dionne Warwick,Alfie,1967,631132,7251,1967,Best Instrumental Arrangement,Burt Bacharach,1
947,43,8.35431448,Mason Williams,Classical Gas,1968,2922557,1908,1968,Best Instrumental Arrangement,Mike Post,1
987,15,16.74093727,Henry Mancini and His Orch.,Love Theme From Romeo And Juliet,1969,1011300,2486,1969,Best Instrumental Arrangement,Henry Mancini,1
641,22,13.00172664,Petula Clark,What Now My Love,1966,394047,4478,1966,Best Instrumental Arrangement,Herb Alpert,1
255,74,5.838577711,The Lettermen,Goin' Out Of My Head,1968,399488,1932,1966,Best Instrumental Jazz Performance - Group Or Soloist With Group,Wes Montgomery,1
842,51,7.4645509,The Buckinghams,"Mercy, Mercy, Mercy",1967,418148,2064,1967,"Best Instrumental Jazz Performance, Small Group Or Soloist With Small Group",Cannonball Adderley,1
640,22,13.00172664,Petula Clark,What Now My Love,1966,394047,4478,1966,Best Instrumental Performance (Other Than Jazz),Herb Alpert,1
582,3,48.42838339,Bobby Goldsboro,A Taste Of Honey,1968,3169958,618,1965,"Best Instrumental Performance, Non-Jazz",Herb Alpert,1
585,3,48.42838339,Bobby Goldsboro,A Taste Of Honey,1968,3169958,618,1962,Best Instrumental Theme,Bobby Scott,1
949,43,8.35431448,Mason Williams,Classical Gas,1968,2922557,1908,1968,Best Instrumental Theme,Mason Williams,1
666,26,11.64441273,Sounds Orchestral,Cast Your Fate To The Wind,1965,183364,821,1962,Best Original Jazz Composition,Vince Guaraldi,1
483,13,18.39913422,The Beatles,A Hard Day's Night,1964,34734369,14112,1964,Best Performance By A Chorus,Beatles,1
540,86,5.287264321,Peter and Gordon,A Man And A Woman,1966,183303,951,1966,Best Performance By A Chorus,Anita Kerr Singers,1
378,17,15.41358678,"Peter, Paul and Mary",Blowin' In The Wind,1963,2388954,1386,1963,Best Performance By A Chorus,Peter,1
375,98,4.850547815,"Peter, Paul and Mary",If I Had A Hammer,1962,650774,1386,1962,Best Performance By A Chorus,Peter,1
438,37,9.225435188,Trini Lopez,If I Had A Hammer,1963,975647,1331,1962,Best Performance By A Chorus,Peter,1
794,71,6.000251993,Ray Conniff Singers,Somewhere My Love (Lara's Theme From Dr. Zhivago),1966,750017,1780,1966,Best Performance By A Chorus,Ray Conniff,1
869,47,7.877989793,The 5th Dimension,"Up, Up And Away",1967,1462718,2394,1967,Best Performance By A Chorus,Johnny Mann Singers,1
870,47,7.877989793,The 5th Dimension,"Up, Up And Away",1967,1462718,2394,1967,Best Performance By A Chorus,5th Dimension,1
523,12,19.39725958,Al Hirt,Java,1964,362090,961,1963,Best Performance By An Orchestra Or Instrumentalist With Orchestra - Primarily Not Jazz Or For Dancing,Al Hirt,1
236,42,8.485070759,Troy Shondell,This Time By Basie! Hits Of The 50's And 60's,1961,28820,793,1963,Best Performance By An Orchestra Or Instrumentalist With Orchestra - Primarily Not Jazz Or For Dancing,Count Basie,1
100,62,6.561777272,Bobby Darin,It's Your Thing,1962,800658,3031,1969,Best R&B Vocal Performance By A Duo Or Group,Isley Brothers,1
324,21,13.40711287,The Isley Brothers,It's Your Thing,1969,28175220,2160,1969,Best R&B Vocal Performance By A Duo Or Group,Isley Brothers,1
1018,75,5.787081068,Joe Simon,The Chokin' Kind,1969,390349,2638,1969,"Best R&B Vocal Performance, Male",Joe Simon,1
173,65,6.360293906,Ricky Nelson,Bernstein Conducts For Young People,1964,91338,4885,1963,Best Recording For Children,Leonard Bernstein,1
845,19,14.32262507,Sam and Dave,Soul Man,1967,29327767,4812,1967,"Best Rhythm & Blues Group Performance, Vocal Or Instrumental",Sam And Dave,1
65,4,40.05349388,Roy Orbison,Crying Time,1961,10605581,8654,1966,Best Rhythm & Blues Recording,Ray Charles,1
159,19,14.32262507,Ray Charles,Hit The Road Jack,1961,34945564,6315,1961,Best Rhythm & Blues Recording,Ray Charles,1
609,85,5.328236693,Nancy Wilson,How Glad I Am,1964,857873,8448,1964,Best Rhythm & Blues Recording,Nancy Wilson,1
676,33,9.949031357,James Brown,Papa's Got A Brand New Bag,1965,22403335,12563,1965,Best Rhythm & Blues Recording,James Brown,1
832,13,18.39913422,Aretha Franklin,Respect,1967,116863662,4631,1967,Best Rhythm & Blues Recording,Aretha Franklin,1
833,13,18.39913422,Aretha Franklin,Respect,1967,116863662,4631,1967,"Best Rhythm & Blues Solo Vocal Performance, Female",Aretha Franklin,1
66,4,40.05349388,Roy Orbison,Crying Time,1961,10605581,8654,1966,"Best Rhythm & Blues Solo Vocal Performance, Male Or Female",Ray Charles,1
904,4,40.05349388,Otis Redding,(Sittin' On) The Dock Of The Bay,1968,104300081,5475,1968,Best Rhythm & Blues Song,Otis Redding,1
1011,65,6.360293906,The Winstons,Color Him Father,1969,131309,260,1969,Best Rhythm & Blues Song,Richard Spencer,1
903,4,40.05349388,Otis Redding,(Sittin' On) The Dock Of The Bay,1968,104300081,5475,1968,"Best Rhythm & Blues Vocal Performance, Male",Otis Redding,1
322,37,9.225435188,Bent Fabric,Alley Cat,1962,145527,630,1962,Best Rock & Roll Recording,Bent Fabric,1
417,19,14.32262507,Nino Tempo and April Stevens,Deep Purple,1963,297983,554,1963,Best Rock & Roll Recording,April Stevens,1
638,6,30.6492728,Petula Clark,Downtown,1965,7403339,4478,1964,Best Rock & Roll Recording,Petula Clark,1
40,94,4.985808764,Chubby Checker,Let's Twist Again,1961,13359395,1911,1961,Best Rock & Roll Recording,Chubby Checker,1
1029,93,5.021127552,Edwin Hawkins Singers,Oh Happy Day,1969,4019864,785,1969,Best Soul Gospel Performance,Edwin Hawkins Singers,1
823,3,48.42838339,Bobby Gentry,Ode To Billie Joe,1967,170998,1880,1967,"Best Vocal Performance, Female",Bobbie Gentry,1
521,11,20.54380234,Barbra Streisand,People,1964,1096736,9030,1964,"Best Vocal Performance, Female",Barbra Streisand,1
905,5,34.56844127,The Rascals,People,1968,600612,2093,1964,"Best Vocal Performance, Female",Barbra Streisand,1
923,5,34.56844127,Sly and The Family Stone,People,1969,49029109,4729,1964,"Best Vocal Performance, Female",Barbra Streisand,1
1022,79,5.59198657,Joe South,People,1969,1685229,1107,1964,"Best Vocal Performance, Female",Barbra Streisand,1
505,3,48.42838339,Louis Armstrong,"Hello, Dolly!",1964,3378654,9607,1964,"Best Vocal Performance, Male",Louis Armstrong,1
106,34,9.754924552,Jackie Wilson,Strangers In The Night,1960,81660,4542,1966,"Best Vocal Performance, Male",Frank Sinatra,1
739,15,16.74093727,Frank Sinatra,Strangers In The Night,1966,21956408,15799,1966,"Best Vocal Performance, Male",Frank Sinatra,1
581,3,48.42838339,Bobby Goldsboro,A Taste Of Honey,1968,3169958,618,1965,Record Of The Year,Herb Alpert*,2
874,2,63.2878297,The 5th Dimension,Aquarius/Let The Sunshine In (The Flesh Failures),1969,11308691,2394,1969,Record Of The Year,5th Dimension,2
346,48,7.769280177,Henry Mancini,Days Of Wine And Roses,1963,286425,2486,1963,Record Of The Year,Henry Mancini,2
343,60,6.705330284,Henry Mancini,Moon River,1962,2813365,2486,1961,Record Of The Year,Henry Mancini,2
786,9,23.45308318,Simon and Garfunkel,Mrs. Robinson,1968,111152876,5561,1968,Record Of The Year,Simon And Garfunkel*,2
105,34,9.754924552,Jackie Wilson,Strangers In The Night,1960,81660,4542,1966,Record Of The Year,Frank Sinatra,2
738,15,16.74093727,Frank Sinatra,Strangers In The Night,1966,21956408,15799,1966,Record Of The Year,Frank Sinatra,2
570,51,7.4645509,Stan Getz and Astrud Gilberto,The Girl From Ipanema,1964,31119332,1553,1964,Record Of The Year,Astrud Gilberto,2
0,1,100,Percy Faith,The Theme From A Summer Place,1960,5001152,1180,1960,Record Of The Year,Percy Faith,2
867,47,7.877989793,The 5th Dimension,"Up, Up And Away",1967,1462718,2394,1967,Record Of The Year,5th Dimension,2
347,48,7.769280177,Henry Mancini,Days Of Wine And Roses,1963,286425,2486,1963,Song Of The Year,Henry Mancini,2
504,3,48.42838339,Louis Armstrong,"Hello, Dolly!",1964,3378654,9607,1964,Song Of The Year,Jerry Herman,2
914,12,19.39725958,O.C. Smith,Little Green Apples,1968,231486,747,1968,Song Of The Year,Bobby Russell,2
344,60,6.705330284,Henry Mancini,Moon River,1962,2813365,2486,1961,Song Of The Year,Henry Mancini,2
132,17,15.41358678,Ferrante and Teicher,Theme From Exodus,1961,338866,1231,1960,Song Of The Year,Ernest Gold,2
868,47,7.877989793,The 5th Dimension,"Up, Up And Away",1967,1462718,2394,1967,Song Of The Year,Jimmy L. Webb,2
895,79,5.59198657,Keith,98.6,1967,390830,414,,,,
279,96,4.917008807,Eddie Hodges,"(Girls, Girls, Girls) Made To Love",1962,30625,688,,,,
626,3,48.42838339,The Rolling Stones,(I Can't Get No) Satisfaction,1965,120360439,13638,,,,
237,43,8.35431448,"Clarence ""Frogman"" Henry",(I Don't Know Why) But I Do,1961,1646381,553,,,,
586,64,6.425711417,The Reflections,(Just Like) Romeo and Juliet,1964,182525,623,,,,
26,71,6.000251993,Elvis Presley,(Marie's The Name) His Latest Flame,1961,6579517,19509,,,,
836,46,7.990608098,Aretha Franklin,(Sweet Sweet Baby) Since You've Been Gone,1968,1999561,4631,,,,
351,63,6.49284802,Gene Pitney,(The Man Who Shot) Liberty Valance,1962,782084,2010,,,,
550,42,8.485070759,Dionne Warwick,(Theme From) Valley Of The Dolls,1968,552598,7251,,,,
