Year,Awards,Title,Artist
1999,Best Country Song,Come On Over,"Robert John ""Mutt"" Lange"
1999,Best Contemporary Jazz Performance,Inside,David Sanborn
1999,Best Jazz Vocal Performance,When I Look In Your Eyes,Diana Krall
1999,Best Jazz Instrumental Solo,In Walked Wayne,Wayne Shorter
1999,"Best Jazz Instrumental Performance, Individual Or Group",Like Minds,Chick Corea
1999,Best Large Jazz Ensemble Performance,Serendipity 18,Bob Florence
1999,Best Latin Jazz Performance,Latin Soul,Poncho Sanchez
1999,Best Latin Pop Performance,Tiempos,Rubén Blades
1999,Best Latin Rock/Alternative Performance,Resurrection,Chris Perez Band
1999,Best Traditional Tropical Latin Performance,Mambo Birdland,Tito Puente
1999,Best Salsa Performance,Llego...Van Van - Van Van Is Here,Los Van Van
1999,Best Merengue Performance,Pintame,Elvis Crespo
1999,Best Mexican-American Performance,100 Años De Mariachi,Placido Domingo
1999,Best Tejano Performance,Por Eso Te Amo,Los Palominos
1999,"Best Instrumental Composition Written For A Motion Picture, Television Or Other Visual Media.",A Bug's Life,Randy Newman
1999,"Best Song Written For A Motion Picture, Television Or Other Visual Media.",Beautiful Stranger (From Austin Powers - The Spy Who Shagged Me),Madonna
1999,Best Instrumental Composition,Joyful Noise Suite,Don Sebesky
1999,Best Instrumental Arrangement,Chelsea Bridge,Don Sebesky
1999,Best Instrumental Arrangement Accompanying Vocalist(s),Lonely Town,Alan Broadbent
1999,Best Orchestral Performance,Stravinsky: Firebird; The Rite Of Spring; Perséphone,Michael Tilson Thomas
1999,Best Opera Recording,Stravinsky: The Rake's Progress,Anne Sofie von Otter
1999,Best Choral Performance,Britten: War Requiem,Betty Scott
1999,Best Instrumental Soloist(s) Performance (With Orchestra),Prokofiev: Piano Concertos Nos. 1 & 3/Bartók: Piano Concerto No. 3,Martha Argerich
1999,Best Instrumental Soloist Performance (Without Orchestra),"Shostakovich: 24 Preludes & Fugues, Op. 87",Vladimir Ashkenazy
1999,Best Chamber Music Performance,"Beethoven: The Violin Sonatas (Nos. 1-3, Op. 12; Nos. 1-3, Op. 30; ""Spring"" Sonata)",Anne-Sophie Mutter
1999,Best Small Ensemble Performance (With Or Without Conductor),"Colors Of Love - Works Of Thomas, Stucky, Tavener & Rands",Chanticleer
1999,Best Classical Vocal Performance,Mahler: Des Knaben Wunderhorn,Anne Sofie von Otter
1999,Best Classical Contemporary Composition,Boulez: Répons,Pierre Boulez
1998,Record Of The Year,My Heart Will Go On (Love Theme From Titanic),Celine Dion
1998,Song Of The Year,My Heart Will Go On (Love Theme From Titanic),James Horner
1998,Best Female Pop Vocal Performance,My Heart Will Go On (Love Theme From Titanic),Celine Dion
1998,Best Male Pop Vocal Performance,My Father's Eyes,Eric Clapton
1998,Best Pop Performance By A Duo Or Group With Vocal,Jump Jive An' Wail,Brian Setzer
1998,Best Pop Collaboration With Vocals,I Still Have That Other Girl,Burt Bacharach
1998,Best Pop Instrumental Performance,Sleepwalk,Brian Setzer
1998,Best Dance Recording,Ray Of Light,Madonna
1998,Best Traditional Pop Vocal Performance,Live At Carnegie Hall - The 50th Anniversary Concert,Patti Page
1998,Best Female Rock Vocal Performance,Uninvited,Alanis Morissette
1998,Best Male Rock Vocal Performance,Fly Away,Lenny Kravitz
1998,Best Rock Performance By A Duo Or Group With Vocal,Pink,Aerosmith
1998,Best Hard Rock Performance,Most High,Jimmy Page
1998,Best Metal Performance,Better Than You,Metallica
1998,Best Rock Instrumental Performance,The Roots Of Coincidence,Pat Metheny Group
1998,Best Rock Song,Uninvited,Alanis Morissette
1998,Best Alternative Music Performance,Hello Nasty,Beastie Boys
1998,Best Female R&B Vocal Performance,Doo Wop (That Thing),Lauryn Hill
1998,Best Male R&B Vocal Performance,St. Louis Blues,Stevie Wonder
1998,Best R&B Performance By A Duo Or Group With Vocal,The Boy Is Mine,Brandy
1998,Best Rhythm & Blues Song,Doo Wop (That Thing),Lauryn Hill
1998,Best Traditional R&B Vocal Performance,Live! - One Night Only,Patti LaBelle
1998,Best Rap Solo Performance,Gettin' Jiggy Wit It,Will Smith
1998,Best Rap Performance By A Duo Or Group,Intergalactic,Beastie Boys
1998,Best Female Country Vocal Performance,You're Still The One,Shania Twain
1998,Best Male Country Vocal Performance,If You Ever Have Forever In Mind,Vince Gill
1998,Best Country Performance By A Duo Or Group With Vocal,There's Your Trouble,Dixie Chicks
1998,Best Country Collaboration With Vocals,Same Old Train,Alison Krauss
1998,Best Country Instrumental Performance,A Soldier's Joy,Randy Scruggs
1998,Best Country Song,You're Still The One,"Robert John ""Mutt"" Lange"
1998,Best Contemporary Jazz Performance,Imaginary Day,Pat Metheny Group
1998,Best Jazz Vocal Performance,I Remember Miles,Shirley Horn
1998,Best Jazz Instrumental Solo,Rhumbata,Chick Corea
1998,"Best Jazz Instrumental Performance, Individual Or Group",Gershwin's World,Herbie Hancock
1998,Best Large Jazz Ensemble Performance,Count Plays Duke,Grover Mitchell
1998,Best Latin Jazz Performance,Hot House,Arturo Sandoval
1998,Best Latin Pop Performance,Vuelve,Ricky Martin
1998,Best Latin Rock/Alternative Performance,Sueños Liquidos,Maná
1998,Best Tropical Latin Performance,Contra La Corriente,Marc Anthony
1998,Best Mexican-American Music Performance,Los Super Seven,Los Super Seven
1998,Best Tejano Music Performance,Said And Done,Flaco Jimenez
1998,Best Instrumental Composition,Almost 12,Béla Fleck
1998,Best Instrumental Composition Written For A Motion Picture Or For Television,Saving Private Ryan,John Williams
1998,Best Song Written For A Motion Picture Or For Television,My Heart Will Go On (Love Theme From Titanic),James Horner
1998,Best Instrumental Arrangement,Waltz For Debby,Don Sebesky
1998,Best Instrumental Arrangement Accompanying Vocal(s),St. Louis Blues,Herbie Hancock
1998,Best Orchestral Performance,Mahler: Symphony No. 9,Pierre Boulez
1998,Best Opera Recording,Bartók: Bluebeard's Castle,Jessye Norman
1998,Best Choral Performance,Barber: Prayers Of Kierkegaard/Vaughan Williams: Dona Nobis Pacem/Bartok: Cantata Profana,Robert Shaw
1998,Best Instrumental Soloist(s) Performance (With Orchestra),"Penderecki: Violin Concerto No. 2 ""Metamorphosen""",Anne-Sophie Mutter
1998,Best Instrumental Soloist Performance (Without Orchestra),"Bach: English Suites Nos. 1, 3 & 6",Murray Perahia
1998,Best Chamber Music Performance,"American Scenes - Works Of Copland, Previn, Barber & Gershwin",André Previn
1998,Best Small Ensemble Performance (With Or Without Conductor),Reich: Music For 18 Musicians,Steve Reich
1998,Best Classical Vocal Performance,"The Beautiful Voice - Works Of Charpentier, Gounod, Massenet & Flotow",Renee Fleming
1998,Best Classical Contemporary Composition,"Penderecki: Violin Concerto No. 2 ""Metamorphosen""",Krzysztof Penderecki
1997,Record Of The Year,Sunny Came Home,Shawn Colvin
1997,Song Of The Year,Sunny Came Home,John Leventhal
1997,Best Female Pop Vocal Performance,Building A Mystery,Sarah McLachlan
1997,Best Male Pop Vocal Performance,Candle In The Wind 1997,Elton John
1997,Best Pop Performance By A Duo Or Group With Vocal,Virtual Insanity,Jamiroquai
1997,Best Pop Collaboration With Vocals,Don't Look Back,John Lee Hooker
1997,Best Pop Instrumental Performance,Last Dance,Sarah McLachlan
1997,Best Dance Recording,Carry On,Donna Summer
1997,Best Traditional Pop Vocal Performance,Tony Bennett On Holiday,Tony Bennett
1997,Best Female Rock Vocal Performance,Criminal,Fiona Apple
1997,Best Male Rock Vocal Performance,Cold Irons Bound,Bob Dylan
1997,Best Rock Performance By A Duo Or Group With Vocal,One Headlight,Wallflowers
1997,Best Hard Rock Performance,The End Is The Beginning Is The End,Smashing Pumpkins
1997,Best Metal Performance,Aenema,Tool
1997,Best Rock Instrumental Performance,Block Rockin' Beats,Chemical Brothers
1997,Best Rock Song,One Headlight,Jakob Dylan
1997,Best Alternative Music Performance,Ok Computer,Radiohead
1997,Best Female R&B Vocal Performance,On & On,Erykah Badu
1997,Best Male R&B Vocal Performance,I Believe I Can Fly,R. Kelly
1997,Best R&B Performance By A Duo Or Group With Vocal,No Diggity,Blackstreet
1997,Best Rhythm & Blues Song,I Believe I Can Fly,R. Kelly
1997,Best Rap Solo Performance,Men In Black,Will Smith
1997,Best Rap Performance By A Duo Or Group,I'll Be Missing You,112
1997,Best Female Country Vocal Performance,How Do I Live,Trisha Yearwood
1997,Best Male Country Vocal Performance,Pretty Little Adriana,Vince Gill
1997,Best Country Performance By A Duo Or Group With Vocal,Looking In The Eyes Of Love,Alison Krauss
1997,Best Country Collaboration With Vocals,In Another's Eyes,Garth Brooks
1997,Best Country Instrumental Performance,Little Liza Jane,Alison Krauss
1997,Best Country Song,Butterfly Kisses,Bob Carlisle
1997,Best Contemporary Jazz Performance,Into The Sun,Randy Brecker
1997,Best Jazz Vocal Performance,Dear Ella,Dee Dee Bridgewater
1997,Best Jazz Instrumental Solo,Stardust,Doc Cheatham
1997,"Best Jazz Instrumental Performance, Individual Or Group",Beyond The Missouri Sky,Charlie Haden
1997,Best Large Jazz Ensemble Performance,Joe Henderson Big Band,Joe Henderson
1997,Best Latin Jazz Performance,Habana,Roy Hargrove's Crisol
1997,Best Latin Pop Performance,Romances,Luis Miguel
1997,Best Latin Rock/Alternative Performance,Fabulosos Calavera,Los Fabulosos Cadillacs
1997,Best Tropical Latin Performance,Buena Vista Social Club,Ry Cooder
1997,Best Mexican-American/Tejano Music Performance,En Tus Manos,La Mafia
1997,Best Instrumental Composition,Aung San Suu Kyi,Wayne Shorter
1997,Best Instrumental Composition Written For A Motion Picture Or For Television,The English Patient,Gabriel Yared
1997,Best Song Written Specifically For A Motion Picture Or For Television,I Believe I Can Fly (From Space Jam),R. Kelly
1997,Best Instrumental Arrangement,"Straight, No Chaser",Bill Holman
1997,Best Instrumental Arrangement Accompanying Vocal(s),Cotton Tail,Slide Hampton
1997,Best Orchestral Performance,Berlioz: Symphonie Fantastique; Tristia,Pierre Boulez
1997,Best Opera Recording,Wagner: Die Meistersinger Von Nurnberg,Alan Opie
1997,Best Choral Performance,Adams: Harmonium/Rachmaninoff: The Bells,Robert Shaw
1997,Best Instrumental Soloist(s) Performance (With Orchestra),"Premieres - Cello Concertos (Works Of Danielpour, Kirchner, Rouse)",Yo-Yo Ma
1997,Best Instrumental Soloist Performance (Without Orchestra),Bach: Suites For Solo Cello Nos. 1-6,Janos Starker
1997,Best Chamber Music Performance,Beethoven: The String Quartets,Emerson String Quartet
1997,Best Small Ensemble Performance (With Or Without Conductor),"Hindemith: Kammermusik No. 1 With Finale 1921, Op. 24 No. 1",Claudio Abbado
1997,Best Classical Vocal Performance,"An Italian Songbook - Works Of Bellini, Donizetti, Rossini",Cecilia Bartoli
1997,Best Classical Contemporary Composition,Adams: El Dorado,John Adams
1996,Record Of The Year,Change The World,Eric Clapton
1996,Song Of The Year,Change The World,Gordon Kennedy
1996,Best Female Pop Vocal Performance,Un-Break My Heart,Toni Braxton
1996,Best Male Pop Vocal Performance,Change The World,Eric Clapton
1996,Best Pop Performance By A Duo Or Group With Vocal,Free As A Bird,Beatles
1996,Best Pop Collaboration With Vocals,When I Fall In Love,Natalie Cole
1996,Best Pop Instrumental Performance,The Sinister Minister,Béla Fleck And The Flecktones
1996,Best Traditional Pop Vocal Performance,Here's To The Ladies,Tony Bennett
1996,Best Female Rock Vocal Performance,If It Makes You Happy,Sheryl Crow
1996,Best Male Rock Vocal Performance,Where It's At,Beck
1996,Best Rock Performance By A Duo Or Group With Vocal,So Much To Say,Dave Matthews Band
1996,Best Hard Rock Performance,Bullet With Butterfly Wings,Smashing Pumpkins
1996,Best Metal Performance,Tire Me,Rage Against The Machine
1996,Best Rock Instrumental Performance,SRV Shuffle,Art Neville
1996,Best Rock Song,Give Me One Reason,Tracy Chapman
1996,Best Alternative Music Performance,Odelay,Beck
1996,Best Female R&B Vocal Performance,You're Makin' Me High,Toni Braxton
1996,Best Male R&B Vocal Performance,Your Secret Love,Luther Vandross
1996,Best R&B Performance By A Duo Or Group With Vocal,Killing Me Softly With His Song,Fugees
1996,Best Rhythm & Blues Song,Exhale (Shoop Shoop),Babyface
1996,Best Rap Solo Performance,Hey Lover,LL Cool J
1996,Best Rap Performance By A Duo Or Group,Tha Crossroads,Bone Thugs-N-Harmony
1996,Best Female Country Vocal Performance,Blue,LeAnn Rimes
1996,Best Male Country Vocal Performance,Worlds Apart,Vince Gill
1996,Best Country Vocal Performance By A Duo Or Group,My Maria,Brooks
1996,Best Country Collaboration With Vocals,High Lonesome Sound,Alison Krauss
1996,Best Country Instrumental Performance,Jam Man,Chet Atkins
1996,Best Country Song,Blue,Bill Mack
1996,Best Contemporary Jazz Performance,High Life,Wayne Shorter
1996,Best Jazz Vocal Performance,New Moon Daughter,Cassandra Wilson
1996,Best Jazz Instrumental Solo,Cabin Fever,Michael Brecker
1996,"Best Jazz Instrumental Performance, Individual Or Group",Tales From The Hudson,Michael Brecker
1996,Best Large Jazz Ensemble Performance,Live At Manchester Craftsmen's Guild,Grover Mitchell
1996,Best Latin Jazz Performance,Portraits Of Cuba,Paquito D'Rivera
1996,Best Latin Pop Performance,Enrique Iglesias,Enrique Iglesias
1996,Best Tropical Latin Performance,La Rosa De Los Vientos,Rubén Blades
1996,Best Mexican-American/Tejano Music Performance,Un Millon De Rosas,La Mafia
1996,Best Instrumental Composition,Manhattan (Island Of Lights And Love),Herbie Hancock
1996,Best Instrumental Composition Written For A Motion Picture Or For Television,Independence Day,David Arnold
1996,Best Song Written Specifically For A Motion Picture Or For Television,Because You Loved Me (Theme From Up Close & Personal),Diane Warren
1996,Best Instrumental Arrangement,An American Symphony (Mr. Holland's Opus),Michael Kamen
1996,Best Instrumental Arrangement With Accompanying Vocal(s),When I Fall In Love,Alan Broadbent
1996,Best Classical Engineered Recording,Copland: Dance Symphony; Short Symphony; Organ Symphony,Lawrence Rock
1996,Best Orchestral Performance,Prokofiev: Romeo And Juliet (Scenes From The Ballet),Michael Tilson Thomas
1996,Best Opera Recording,Britten: Peter Grimes,Alan Opie
1996,Best Choral Performance,Walton: Belshazzar's Feast,David Hill
1996,Best Instrumental Soloist(s) Performance (With Orchestra),Bartók: The Three Piano Concertos,Yefim Bronfman
1996,Best Instrumental Soloist Performance (Without Orchestra),"The Romantic Master - Works Of Saint-Saens, Handel",Earl Wild
1996,Best Chamber Music Performance,Corigliano: String Quartet,Cleveland Quartet
1996,Best Small Ensemble Performance (With Or Without Conductor),Boulez: ...Explosante-Fixe...,Ensemble InterContemporain
1996,Best Classical Vocal Performance,"Opera Arias - Works Of Mozart, Wagner, Borodin",Bryn Terfel
1996,Best Classical Contemporary Composition,Corigliano: String Quartet,John Corigliano
1995,Record Of The Year,Kiss From A Rose,Seal
1995,Song Of The Year,Kiss From A Rose,Seal
1995,Best Female Pop Vocal Performance,"No More ""I Love You's""",Annie Lennox
1995,Best Male Pop Vocal Performance,Kiss From A Rose,Seal
1995,Best Pop Performance By A Duo Or Group With Vocal,Let Her Cry,Hootie And The Blowfish
1995,Best Pop Collaboration With Vocals,Have I Told You Lately That I Love You?,Chieftains
1995,Best Pop Instrumental Performance,Mariachi Suite,Los Lobos
1995,Best Traditional Pop Vocal Performance,Duets II,Frank Sinatra
1995,Best Female Rock Vocal Performance,You Oughta Know,Alanis Morissette
1995,Best Male Rock Vocal Performance,You Don't Know How It Feels,Tom Petty
1995,Best Rock Performance By A Duo Or Group With Vocal,Run-Around,Blues Traveler
1995,Best Hard Rock Performance,Spin The Black Circle,Pearl Jam
1995,Best Metal Performance,Happiness In Slavery,Nine Inch Nails
1995,Best Rock Instrumental Performance,Jessica,Allman Brothers Band
1995,Best Rock Song,You Oughta Know,Alanis Morissette
1995,Best Alternative Music Performance,MTV Unplugged In New York,Nirvana
1995,Best Female R&B Vocal Performance,I Apologize,Anita Baker
1995,Best Male R&B Vocal Performance,For Your Love,Stevie Wonder
1995,Best R&B Performance By A Duo Or Group With Vocal,Creep,TLC
1995,Best Rhythm & Blues Song,For Your Love,Stevie Wonder
1995,Best Rap Solo Performance,Gangsta's Paradise,Coolio
1995,Best Rap Performance By A Duo Or Group,I'll Be There For You/You're All I Need To Get By,Mary J. Blige
1995,Best Female Country Vocal Performance,"Baby, Now That I've Found You",Alison Krauss
1995,Best Male Country Vocal Performance,Go Rest High On That Mountain,Vince Gill
1995,Best Country Performance By A Duo Or Group With Vocal,Here Comes The Rain,Mavericks
1995,Best Country Collaboration With Vocals,Somewhere In The Vicinity Of The Heart,Alison Krauss
1995,Best Country Instrumental Performance,Hightower,Asleep At The Wheel
1995,Best Country Song,Go Rest High On That Mountain,Vince Gill
1995,Best Contemporary Jazz Performance,We Live Here,Pat Metheny Group
1995,Best Jazz Vocal Performance,An Evening With Lena Horne,Lena Horne
1995,Best Jazz Instrumental Solo,Impressions,Michael Brecker
1995,"Best Jazz Instrumental Performance, Individual Or Group",Infinity,McCoy Tyner Trio
1995,Best Large Jazz Ensemble Performance,All Blues,Tom Scott
1995,Best Latin Jazz Performance,Antonio Brasileiro,Jobim
1995,Best Latin Pop Performance,Amor,Jon Secada
1995,Best Tropical Latin Performance,Abriendo Puertas,Gloria Estefan
1995,Best Mexican-American/Tejano Music Performance,Flaco Jimenez,Flaco Jimenez
1995,Best Instrumental Composition,A View From The Side,Bill Holman
1995,Best Instrumental Composition Written For A Motion Picture Or For Television,Crimson Tide,Hans Zimmer
1995,Best Song Written Specifically For A Motion Picture Or For Television,Colors Of The Wind (From Pocahontas),Alan Menken
1995,Best Instrumental Arrangement,Lament,Robert Farnon
1995,Best Instrumental Arrangement With Accompanying Vocal(s),I Get A Kick Out Of You,Rob McConnell
1995,Best Classical Engineered Recording,"Bartók: Concerto For Orchestra; ""Kossuth"" - Symphonic Poem",Jonathan Stokes
1995,Best Orchestral Performance,Debussy: La Mer,Pierre Boulez
1995,Best Opera Recording,Berlioz: Les Troyens,Deborah Voigt
1995,Best Choral Performance,Brahms: Ein Deutsches Requiem,Vance George
1995,Best Instrumental Soloist(s) Performance (With Orchestra),"The American Album - Works Of Bernstein, Barber, Foss",Itzhak Perlman
1995,Best Instrumental Soloist Performance (Without Orchestra),Schubert: Piano Sonatas (B Flat Major And A Major),Radu Lupu
1995,Best Chamber Music Performance,Brahms/Beethoven/Mozart: Clarinet Trios,Emanuel Ax
1995,Best Classical Vocal Performance,The Echoing Air - The Music Of Henry Purcell,Sylvia McNair
1995,Best Classical Contemporary Composition,Messiaen: Concert A Quatre,Olivier Messiaen
1994,Record Of The Year,All I Wanna Do,Sheryl Crow
1994,Song Of The Year,Streets Of Philadelphia,Bruce Springsteen
1994,Best Female Pop Vocal Performance,All I Wanna Do,Sheryl Crow
1994,Best Male Pop Vocal Performance,Can You Feel The Love Tonight,Elton John
1994,Best Pop Performance By A Duo Or Group With Vocal,I Swear,All-4-One
1994,Best Pop Vocal Collaboration,Funny How Time Slips Away,Al Green
1994,Best Pop Instrumental Performance,Cruisin',Booker T And The MG's
1994,Best Traditional Pop Vocal Performance,MTV Unplugged,Tony Bennett
1994,Best Female Rock Vocal Performance,Come To My Window,Melissa Etheridge
1994,Best Male Rock Vocal Performance,Streets Of Philadelphia,Bruce Springsteen
1994,Best Rock Performance By A Duo Or Group With Vocal,Crazy,Aerosmith
1994,Best Hard Rock Performance,Black Hole Sun,Soundgarden
1994,Best Metal Performance,Spoonman,Soundgarden
1994,Best Rock Instrumental Performance,Marooned,Pink Floyd
1994,Best Rock Song,Streets Of Philadelphia,Bruce Springsteen
1994,Best Alternative Music Performance,Dookie,Green Day
1994,Best Female R&B Vocal Performance,Breathe Again,Toni Braxton
1994,Best Male R&B Vocal Performance,When Can I See You,Babyface
1994,Best R&B Performance By A Duo Or Group With Vocal,I'll Make Love To You,Boyz II Men
1994,Best Rhythm & Blues Song,I'll Make Love To You,Babyface
1994,Best Rap Solo Performance,U.N.I.T.Y.,Queen Latifah
1994,Best Rap Performance By A Duo Or Group,None Of Your Business,Salt-N-Pepa
1994,Best Female Country Vocal Performance,Shut Up And Kiss Me,Mary Chapin Carpenter
1994,Best Male Country Vocal Performance,When Love Finds You,Vince Gill
1994,Best Country Performance By A Duo Or Group With Vocal,Blues For Dixie,Asleep At The Wheel
1994,Best Country Vocal Collaboration,I Fall To Pieces,Aaron Neville
1994,Best Country Instrumental Performance,Young Thing,Chet Atkins
1994,Best Country Song,I Swear,Frank J. Myers
1994,Best Contemporary Jazz Performance,Out Of The Loop,Brecker Brothers
1994,Best Jazz Vocal Performance,Mystery Lady - Songs Of Billie Holiday,Etta James
1994,Best Jazz Instrumental Solo,Prelude To A Kiss,Benny Carter
1994,"Best Jazz Instrumental Performance, Individual Or Group",A Tribute To Miles,Herbie Hancock
1994,Best Large Jazz Ensemble Performance,Journey,McCoy Tyner
1994,Best Latin Jazz Performance,Danzon,Arturo Sandoval
1994,Best Latin Pop Performance,Segundo Romance,Luis Miguel
1994,Best Tropical Latin Performance,Master Sessions Volume 1,Israel López
1994,Best Mexican-American Performance,Recuerdo A Javier Solis,Vikki Carr
1994,Best Instrumental Composition,African Skies,Michael Brecker
1994,Best Instrumental Composition Written For A Motion Picture Or For Television,Schindler's List,John Williams
1994,Best Song Written Specifically For A Motion Picture Or For Television,Streets Of Philadelphia (From Philadelphia),Bruce Springsteen
1994,Best Instrumental Arrangement,Three Cowboy Songs,Dave Grusin
1994,Best Instrumental Arrangement With Accompanying Vocals,Circle Of Life,Hans Zimmer
1994,Best Classical Engineered Recording,"Copland: Music For Films (The Red Pony, Our Town, Etc.)",William Hoekstra
1994,Best Orchestral Performance,"Bartók: Concerto For Orchestra: Four Orchestral Pieces, Op. 12",Pierre Boulez
1994,Best Opera Recording,Floyd: Susannah,Cheryl Studer
1994,Best Choral Performance,Berlioz: Messe Solennelle,John Eliot Gardiner
1994,Best Instrumental Soloist Performance (With Orchestra),"The New York Album - Works Of Albert, Bartok & Bloch",Yo-Yo Ma
1994,Best Instrumental Soloist Performance Without Orchestra,"Haydn: Piano Sonatas, Nos. 32, 47, 53, 59",Emanuel Ax
1994,Best Chamber Music Performance,Beethoven/Mozart: Quintets (Chicago-Berlin),Dale Clevenger
1994,Best Classical Vocal Performance,"The Impatient Lover - Italian Songs By Beethoven, Schubert, Mozart",Cecilia Bartoli
1994,Best Classical Contemporary Composition,Albert: Cello Concerto,Stephen Albert
1993,Record Of The Year,I Will Always Love You,Whitney Houston
1993,Song Of The Year,A Whole New World (Aladdin's Theme),Alan Menken
1993,"Best Pop Vocal Performance, Female",I Will Always Love You,Whitney Houston
1993,"Best Pop Vocal Performance, Male",If I Ever Lose My Faith In You,Sting
1993,Best Pop Performance By A Duo Or Group With Vocal,A Whole New World (Aladdin's Theme),Peabo Bryson
1993,Best Traditional Pop Vocal Performance,Steppin' Out,Tony Bennett
1993,Best Pop Instrumental Performance,Barcelona Mona,Branford Marsalis
1993,"Best Rock Vocal Performance, Solo",I'd Do Anything For Love (But I Won't Do That),Meat Loaf
1993,Best Rock Performance By A Duo Or Group With Vocal,Livin' On The Edge,Aerosmith
1993,Best Hard Rock Performance With Vocal,Plush,Stone Temple Pilots
1993,Best Metal Performance With Vocal,I Don't Want To Change The World,Ozzy Osbourne
1993,Best Rock Instrumental Performance,Sofa,Steve Vai
1993,Best Rock Song,Runaway Train,David Pirner
1993,"Best R&B Vocal Performance, Female",Another Sad Love Song,Toni Braxton
1993,"Best R&B Vocal Performance, Male",A Song For You,Ray Charles
1993,Best R&B Performance By A Duo Or Group With Vocal,No Ordinary Love,Sade
1993,Best Rhythm & Blues Song,That's The Way Love Goes,Janet Jackson
1993,Best Rap Solo Performance,Let Me Ride,Dr. Dre
1993,Best Rap Performance By A Duo Or Group,Rebirth Of Slick (Cool Like Dat),Digable Planets
1993,Best Contemporary Jazz Performance (Instrumental),The Road To You,Pat Metheny Group
1993,Best Jazz Vocal Performance,Take A Look,Natalie Cole
1993,Best Jazz Instrumental Solo,Miles Ahead,Joe Henderson
1993,"Best Jazz Instrumental Performance, Individual Or Group","So Near, So Far (Musings For Miles)",Joe Henderson
1993,Best Large Jazz Ensemble Performance,Miles And Quincy Live At Montreux,Miles Davis
1993,"Best Country Vocal Performance, Female",Passionate Kisses,Mary Chapin Carpenter
1993,"Best Country Vocal Performance, Male",Ain't That Lonely Yet,Dwight Yoakam
1993,Best Country Performance By A Duo Or Group With Vocal,Hard Workin' Man,Brooks
1993,Best Country Vocal Collaboration,Does He Love You,Linda Davis
1993,Best Country Instrumental Performance,Red Wing,Asleep At The Wheel
1993,Best Country Song,Passionate Kisses,Lucinda Williams
1993,Best Instrumental Composition,Forever In Love,Kenny G
1993,Best Instrumental Composition Written For A Motion Picture Or For Television,Aladdin,Alan Menken
1993,Best Song Written Specifically For A Motion Picture Or For Television,A Whole New World (Aladdin's Theme) (From Aladdin),Alan Menken
1993,Best Arrangement On An Instrumental,Mood Indigo,Dave Grusin
1993,Best Instrumental Arrangement Accompanying Vocal(s),When I Fall In Love,David Foster
1993,Best Orchestral Performance,Bartók: The Wooden Prince,Pierre Boulez
1993,Best Opera Recording,Handel: Semele,John Aler
1993,Best Performance Of A Choral Work,Bartók: Cantata Profana,Margaret Hillis
1993,Best Classical Performance-Instrumental Soloist(s) (With Orchestra),Berg: Violin Concerto/Rihm: Time Chant,Anne-Sophie Mutter
1993,Best Classical Performance-Instrumental Soloist (Without Orchestra),Barber: The Complete Solo Piano Music,John Browning
1993,Best Chamber Music Performance,"Ives: String Quartets Nos. 1, 2/Barber: String Quartet Op. 11 (American Originals)",Emerson String Quartet
1993,Best Classical Vocal Performance,"The Art Of Arleen Auger (Works Of Larsen, Purcell, Schumann, Mozart)",Arleen Auger
1993,Best Contemporary Composition,Carter: Violin Concerto,Elliott Carter
1993,"Best Engineered Recording, Classical",Bartók: The Wooden Prince & Cantata Profana,Rainer Maillard
1992,Record Of The Year,Tears In Heaven,Eric Clapton
1992,Song Of The Year,Tears In Heaven,Eric Clapton
1992,"Best Pop Vocal Performance, Female",Constant Craving,k.d. lang
1992,"Best Pop Vocal Performance, Male",Tears In Heaven,Eric Clapton
1992,Best Pop Performance By A Duo Or Group With Vocal,Beauty And The Beast,Celine Dion
1992,Best Traditional Pop Vocal Performance,Perfectly Frank,Tony Bennett
1992,Best Pop Instrumental Performance,Beauty And The Beast,Richard Kaufman
1992,"Best Rock Vocal Performance, Female",Ain't It Heavy,Melissa Etheridge
1992,"Best Rock Vocal Performance, Male",Unplugged,Eric Clapton
1992,Best Rock Performance By A Duo Or Group With Vocal,Achtung Baby,U2
1992,Best Hard Rock Performance With Vocal,Give It Away,Red Hot Chili Peppers
1992,Best Metal Performance,Wish,Nine Inch Nails
1992,Best Rock Instrumental Performance,Little Wing,Stevie Ray Vaughan And Double Trouble
1992,Best Rock Song,Layla,Eric Clapton
1992,"Best R&B Vocal Performance, Female",The Woman I Am,Chaka Khan
1992,"Best R&B Vocal Performance, Male",Heaven And Earth,Al Jarreau
1992,Best R&B Performance By A Duo Or Group With Vocal,End Of The Road,Boyz II Men
1992,Best R&B Instrumental Performance,Doo-Bop,Miles Davis
1992,Best Rhythm & Blues Song,End Of The Road,Babyface
1992,Best Rap Solo Performance,Baby Got Back,Sir Mix-A-Lot
1992,Best Rap Performance By A Duo Or Group,Tennessee,Arrested Development
1992,Best Contemporary Jazz Performance (Instrumental),Secret Story,Pat Metheny
1992,Best Jazz Vocal Performance,'Round Midnight,Bobby McFerrin
1992,Best Jazz Instrumental Solo,Lush Life,Joe Henderson
1992,"Best Jazz Instrumental Performance, Individual Or Group",I Heard You Twice The First Time,Branford Marsalis
1992,Best Large Jazz Ensemble Performance,The Turning Point,McCoy Tyner
1992,"Best Country Vocal Performance, Female",I Feel Lucky,Mary Chapin Carpenter
1992,"Best Country Vocal Performance, Male",I Still Believe In You,Vince Gill
