,Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,followers,popularity,Awards,awardscore
0,-1.6999493124282559,3.931829585620525,Percy Faith,"Theme From ""A Summer Place""",-1.5703109267266413,15.42517884386037,-0.482108326948471,9877,52,Record Of The Year,2
1,-1.6654172351139735,3.1810610981665257,Jim Reeves,He'll Have To Go,-1.5703109267266413,15.291952477279096,0.7443121591241331,59717,59,0,0
2,-1.6308851577996915,2.7418896863006568,The Everly Brothers,Cathy's Clown,-1.5703109267266413,15.246003127773799,0.7153859663483289,120725,63,0,0
3,-0.6985190703140732,0.2478907550893746,The Everly Brothers,Let It Be Me,-1.5703109267266413,13.455567422156857,0.7153859663483289,120725,63,0,0
4,-0.6985190703140732,0.2478907550893746,The Everly Brothers,Let It Be Me,-1.5703109267266413,13.455567422156857,0.7153859663483289,120725,63,0,0
5,0.682764022257213,-0.6698429544764519,The Everly Brothers,So Sad,-1.5703109267266413,13.59768906931709,0.7153859663483289,120725,63,0,0
6,1.4079376458571384,-0.9540175533979903,The Everly Brothers,When Will I Be Loved,-1.5703109267266413,13.138429621341052,0.7153859663483289,120725,63,0,0
7,0.23384701717154502,-0.4473204279074629,The Everly Brothers,Walk Right Back,-1.22358791055622,14.600468164966186,0.7153859663483289,120725,63,0,0
8,-0.11147375597127655,-0.23838068510609728,The Everly Brothers,Crying In The Rain,-0.8768648943857986,14.918937238825587,0.7153859663483289,120725,63,0,0
9,-1.5963530804854094,2.43029261065672,Johnny Preston,Running Bear,-1.5703109267266413,14.183606038602434,-1.4193350639604814,2592,38,0,0
10,-0.18053791059984087,-0.19128065707702618,Johnny Preston,Cradle Of Love,-1.5703109267266413,12.358454619261435,-1.4193350639604814,2592,38,0,0
11,-1.561821003171127,2.188599141822501,Mark Dinning,Teen Angel,-1.5703109267266413,12.986025765312188,-1.7857050937652992,412,34,0,0
12,-1.527288925856845,1.9911211985079182,Brenda Lee,I'm Sorry,-1.5703109267266413,15.029287642874596,0.25563526402698494,56596,72,0,0
13,-1.1129039980854591,0.8011812994278674,Brenda Lee,Sweet Nothin's,-1.5703109267266413,15.314852984663991,0.25563526402698494,56596,72,0,0
14,-0.2496020652284052,-0.14203899703666253,Brenda Lee,I Want To Be Wanted,-1.5703109267266413,12.874158395494748,0.25563526402698494,56596,72,0,0
15,0.7172960995714952,-0.6852067576881544,Brenda Lee,That's All You Gotta Do,-1.5703109267266413,12.886772680788361,0.25563526402698494,56596,72,0,0
16,1.4079376458571384,-0.9540175533979903,Brenda Lee,Dum Dum,-1.22358791055622,12.676476194797237,0.25563526402698494,56596,72,0,0
17,1.4770018004857026,-0.977564784587666,Brenda Lee,You Can Depend On Me,-1.22358791055622,12.014869766289904,0.25563526402698494,56596,72,0,0
18,-0.8366473795712018,0.4028875680204164,Brenda Lee,Break It To Me Gently,-0.8768648943857986,14.263234707545934,0.25563526402698494,56596,72,"Best Country Vocal Performance, Female",1
19,0.7863602542000595,-0.715295636233217,Brenda Lee,Everybody Loves Me But You,-0.8768648943857986,12.231155425897636,0.25563526402698494,56596,72,0,0
20,0.4065074037429558,-0.5383933725397528,Brenda Lee,Losing You,-0.5301418782153773,12.633008922784553,0.25563526402698494,56596,72,0,0
21,0.9935527180857524,-0.8008503522983897,Brenda Lee,Too Many Rivers,0.1633041541254654,12.004751738726437,0.25563526402698494,56596,72,0,0
22,0.682764022257213,-0.6698429544764519,Brenda Lee,Coming On Strong,0.5100271702958867,11.146373330360662,0.25563526402698494,56596,72,0,0
23,-1.4927568485425629,1.8241559769667985,Elvis Presley,It's Now Or Never,-1.5703109267266413,16.28079834357062,2.2096392117423074,1736017,83,0,0
24,-1.4236926939139984,1.5519497871425503,Elvis Presley,Stuck On You,-1.5703109267266413,15.716876615511243,2.2096392117423074,1736017,83,0,0
25,-0.3877303744855338,-0.03628384410506093,Elvis Presley,Little Sister,-1.22358791055622,15.026375953712455,2.2096392117423074,1736017,83,0,0
26,0.026654553285852072,-0.3268486087180821,Elvis Presley,Surrender,-1.22358791055622,15.341477074819927,2.2096392117423074,1736017,83,0,0
27,0.7172960995714952,-0.6852067576881544,Elvis Presley,(Marie's The Name) His Latest Flame,-1.22358791055622,15.699471896351957,2.2096392117423074,1736017,83,0,0
28,1.5805980324285491,-1.0119527513366469,Elvis Presley,Are You Lonesome Tonight?,-1.22358791055622,16.264229164736097,2.2096392117423074,1736017,83,0,0
29,-1.0438398434568947,0.687062167037572,Elvis Presley,Good Luck Charm,-0.8768648943857986,15.476259264632802,2.2096392117423074,1736017,83,0,0
30,0.23384701717154502,-0.4473204279074629,Elvis Presley,Can't Help Falling In Love,-0.8768648943857986,18.469699919991815,2.2096392117423074,1736017,83,0,0
31,0.6482319449429309,-0.6542580816469742,Elvis Presley,(You're the) Devil in Disguise,-0.5301418782153773,16.624494430693055,2.2096392117423074,1736017,83,0,0
32,1.546065955114267,-1.0006109724071857,Elvis Presley,Bossa Nova Baby,-0.5301418782153773,13.81887090566648,2.2096392117423074,1736017,83,0,0
33,-1.4236926939139984,1.5519497871425503,Elvis Presley,Crying in the Chapel,0.1633041541254654,15.22886059110759,2.2096392117423074,1736017,83,0,0
34,-1.1129039980854591,0.8011812994278674,Elvis Presley,Suspicious Minds,1.5501962188071507,18.149688773637507,2.2096392117423074,1736017,83,0,0
35,-0.5258586837426624,0.080925533088184,Elvis Presley,In The Ghetto,1.5501962188071507,17.58855223825633,2.2096392117423074,1736017,83,Best Soul Gospel Performance,1
