Artist,WikiWordCount
The Seekers,3634
The Byrds,13506
Sounds Orchestral,821
Barbara Mason,462
Tom Jones,4556
Barry McGuire,1344
The McCoys,499
James Brown,12563
Wayne Fontana and The Mindbenders,521
Shirley Ellis,392
Patti Page,3693
Bob Dylan,16836
Freddie and the Dreamers,1498
Horst Jankowski,493
The Yardbirds,5119
The Moody Blues,8129
Shirley Bassey,4407
Billy Joe Royal,533
Glenn Yarbrough,748
The Beau Brummels,2880
Ian Whitcomb,1747
Jackie DeShannon,2242
Sir Douglas Quintet,1932
The Turtles,2031
The Zombies,2742
Vic Dana,302
Patty Duke,2415
The Fortunes,1493
Joe Tex,2114
The Lovin' Spoonful,2804
Cher,12651
Little Anthony and the Imperials,2557
The Strangeloves,1062
Sonny,741
Roy Head,2269
Jack Jones,1801
"Dino, Desi and Billy",915
The Ad Libs,274
SSgt Barry Sadler,1513
The Association,3791
? and the Mysterians,1979
The Monkees,18620
The Mamas and The Papas,5544
Roger Williams,5121
Nancy Sinatra,2938
Jimmy Ruffin,1201
Frank Sinatra,15799
The Young Rascals,2093
The New Vaudeville Band,415
Tommy James and The Shondells,1387
Percy Sledge,1092
The Troggs,1786
Paul Revere and The Raiders,4169
Donovan,6108
Bobby Hebb,673
The Happenings,550
Mitch Ryder and the Detroit Wheels,827
The Mindbenders,978
The Capitols,879
Sandy Posey,936
The Cyrkle,669
The Left Banke,1760
The Outsiders,2291
The Hollies,5105
James and Bobby Purify,566
B. J. Thomas,1074
The Standells,2082
Bob Lind,676
Simon and Garfunkel,5561
Robert Parker,215
Count Five,694
The T-Bones,750
Deon Jackson,249
Crispian St. Peters,764
Ray Conniff Singers,1780
David Houston,583
Marvelettes,3009
Neil Diamond,5853
Lou Rawls,2941
The Shadows Of Knight,1856
The Sandpipers,1407
Wilson Pickett,3001
Shades Of Blue,2035
Turtles,5416
The Vogues,1079
Los Bravos,562
Slim Harpo,1856
Bobby Fuller Four,1299
Herb Alpert and The Tijuana Brass,3642
Lulu,4659
The Box Tops,1953
Bobby Gentry,1880
The Doors,8577
Frank and Nancy Sinatra,1520
Frankie Valli,2457
The Music Explosion,552
Aretha Franklin,4631
Bobby Vee and The Strangers,1614
The Buckinghams,2064
Arthur Conley,777
The Soul Survivors,1037
Sam and Dave,4812
Jay and The Techniques,346
Every Mothers' Son,671
Strawberry Alarm Clock,2877
Vicki Carr,1054
Brenton Wood,1103
Buffalo Springfield,2208
Engelbert Humperdinck,3257
Marvin Gaye and Tammi Terrell,581
Jefferson Airplane,6169
The Esquires,388
Van Morrison,11331
Procol Harum,2788
The Casinos,396
The Tremeloes,1669
Ed Ames,1411
The 5th Dimension,2394
Scott Mckenzie,746
The Cowsills,2784
Five Americans,620
Blue Magoos,846
The Easybeats,4259
The Bar-Kays,1226
The Spencer Davis Group,1069
The Hombres,567
The Grass Roots,4194
Peaches and Herb,1567
Aaron Neville,1369
James Brown and The Famous Flames,3416
Keith,414
The Royal Guardsmen,650
Janis Ian,2300
Robert Knight,389
Bill Cosby,5767
The Electric Prunes,3498
The Who,11121
Paul Mauriat,1189
Otis Redding,5475
The Rascals,2093
Cream,1342
Herb Alpert,3642
Hugo Montenegro,1137
Archie Bell and The Drells,929
Jeannie C. Riley,1067
O.C. Smith,747
Gary Puckett and The Union Gap,1275
Hugh Masekela,1428
Sly and The Family Stone,4729
Cliff Nobles,369
The Delfonics,1723
John Fred and His Playboy Band,448
Classics IV,1391
Merrilee Rush,916
Georgie Fame,2126
Mary Hopkin,2125
Steppenwolf,2216
The Intruders,1068
1910 Fruitgum Company,578
Sergio Mendes and Brasil '66,1691
Johnny Nash,1090
Ohio Express,2190
The Crazy World Of Arthur Brown,1366
Troggs,613
Gene and Debbe,373
Mason Williams,1908
Clarence Carter,780
The O'Kaysions,418
The Lemon Pipers,1228
Friend and Lover,425
Richard Harris,3259
Jose Feliciano,3275
Status Quo,551
Blue Cheer,2021
The Bee Gees,10349
The Fireballs,673
The Dells,1145
Willie Mitchell,522
The Human Beinz,835
Tommy Boyce and Bobby Hart,1543
The Irish Rovers,2636
Vanilla Fudge,1607
The Foundations,3982
The Sweet Inspirations,1471
Smokey Robinson and The Miracles,5609
The Mills Brothers,1761
The Chambers Brothers,1186
Shorty Long,638
Big Brother and The Holding Company,3225
Creedence Clearwater Revival,4772
The American Breed,945
Jerry Butler,982
The Archies,1201
Three Dog Night,2291
Henry Mancini and His Orch.,2486
The Youngbloods,1084
The Friends Of Distinction,513
Jr. Walker and The All Stars,1102
Oliver,1579
The Beatles with Billy Preston,3613
Zager and Evans,704
"Blood, Sweat and Tears",940
Andy Kim,1004
Smith,465
Zombies,5936
Bobby Sherman,2535
Mercy,1682
The Guess Who,4136
Watts 103rd Street Rhythm Band,1504
Spiral Starecase,622
Cass Elliot,3679
Glen Campbell,3632
Tyrone Davis,700
The Winstons,260
"Sonny Charles and The Checkmates, Ltd.",229
Edwin Starr,1270
New Colony Six,498
Motherlode,327
Harry Nilsson,5091
Brooklyn Bridge,3934
Joe Simon,2638
The Flying Machine,550
Tony Joe White,1629
Kenny Rogers and The First Edition,5172
Joe South,1107
The Cuff Links,773
Bob Seger System,4796
Diana Ross and The Supremes and The Temptations,1236
Crazy Elephant,271
The Originals,4253
Edwin Hawkins Singers,785
David Ruffin,3665
