Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Followers,Popularity,GenreRaw,Tar-Pre
14,17.52086311,Jack Scott,What In The World's Come Over You,1960,192575,551,2761,34,,0.012642696336436998
35,9.570069477999999,Jack Scott,Burning Bridges,1960,123257,551,2761,34,,-0.4335713854607288
15,16.74093727,Marty Robbins,El Paso,1960,8663683,1930,73354,61,"country, tex-mex",1.800981301931273
28,11.08857401,Marty Robbins,Don't Worry,1961,321791,1930,73354,61,country,-1.611903416145724
16,16.04282372,Hollywood Argyles,Alley Oop,1960,218008,564,154,18,,1.3653385443729427
19,14.32262507,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,1960,3452011,1193,8485,50,bubblegum pop,1.6889264069948098
29,10.83471074,Brian Hyland,Sealed With A Kiss,1962,3465190,1193,8485,50,pop,1.4529533429497512
20,13.84586851,Roy Orbison,Only The Lonely,1960,15956833,8655,303004,71,"pop, rock 'n' roll",1.7374868343692889
4,40.05349388,Roy Orbison,Crying,1961,10605581,8655,303004,71,"country, rock",1.209088282884757
13,18.39913422,Roy Orbison,Running Scared,1961,2391967,8655,303004,71,bolero,-0.2801760491031686
65,6.360293906,Roy Orbison,Dream Baby (How Long Must I Dream),1962,1882078,8655,303004,71,,-0.6398073882663233
46,7.990608097999999,Roy Orbison,Mean Woman Blues,1963,709991,8655,303004,71,rockabilly,-1.734578643657029
59,6.780124557000001,Roy Orbison,In Dreams,1963,11402194,8655,303004,71,rock,1.0417301344499226
4,40.05349388,Roy Orbison,"Oh, Pretty Woman",1964,61232906,8655,303004,71,rock,2.60271728145341
73,5.8912426689999995,Roy Orbison,It's Over,1964,1783252,8655,303004,71,,-0.9335287795823568
21,13.40711287,Dion and The Belmonts,Where Or When,1960,799005,1659,39253,59,doo-wop,-0.4444298830251405
22,13.00172664,Connie Stevens,Sixteen Reasons,1960,272674,1205,1566,27,traditional pop,0.9631334145679684
23,12.62582101,Paul Anka,Puppy Love,1960,1666967,2526,99369,65,pop,-0.14411663374392703
66,6.296526022,Paul Anka,It's Time To Cry,1960,109090,2526,99369,65,,-2.87070449064832
77,5.687430745,Paul Anka,My Home Town,1960,289664,2526,99369,65,,-1.8941560896869678
85,5.328236693,Paul Anka,"Tonight My Love, Tonight",1961,339702,2526,99369,65,,-1.8547007422928452
76,5.736711756,Paul Anka,Love Me Warm And Tender,1962,831928,2526,99369,65,,-1.0789153911067881
24,12.27610461,Frankie Avalon,Why,1960,378916,2080,20543,48,pop,-0.30564533272337613
25,11.94977132,The Ventures,"Walk, Don't Run",1960,4127116,2678,43237,51,"rock, surf rock",1.8731352451475534
90,5.130975533,The Ventures,"Walk, Don't Run '64",1964,62271,2678,43237,51,"rock, surf rock",-2.800270202868937
58,6.857053284,The Ventures,Hawaii Five-O,1969,2718842,2678,43237,51,,0.37673637896358336
26,11.64441273,The Drifters,Save The Last Dance For Me,1960,11458687,4140,113446,65,"r&b, pop",1.8192091529616263
100,4.786300923,The Drifters,Please Stay,1961,374740,4140,113446,65,,-1.7209535908788904
75,5.787081067999999,The Drifters,Up on the Roof,1963,5920655,4140,113446,65,,0.7992327511365183
20,13.84586851,The Drifters,Under the Boardwalk,1964,26552965,4140,113446,65,"pop, soul",2.1800352992726744
27,11.35794904,Dinah Washington and Brook Benton,Baby (You've Got What It Takes),1960,5561544,1481,109712,30,r&b,3.8345956014945237
75,5.787081067999999,Dinah Washington and Brook Benton,A Rockin' Good Way,1960,881349,1481,109712,30,,1.9924182432013762
28,11.08857401,Johnny Horton,Sink The Bismark,1960,1971530,1545,34800,53,country,0.932959275640922
29,10.83471074,Sam Cooke,Chain Gang,1960,21685399,2898,471335,74,"rhythm and blues, soul",1.7391467542647945
80,5.545754095,Sam Cooke,Wonderful World,1960,93708300,2898,471335,74,"rhythm and blues, soul",3.202694343228856
23,12.62582101,Sam Cooke,Twistin' The Night Away,1962,12685198,2898,471335,74,rhythm and blues,0.9631598097838125
52,7.369496097000001,Sam Cooke,Having A Party,1962,3377142,2898,471335,74,"rhythm and blues, soul",-0.3602462024571622
67,6.234342105,Sam Cooke,Little Red Rooster,1963,1246121,2898,471335,74,,-1.4771322504597766
88,5.207645782,Sam Cooke,Another Saturday Night,1963,5407127,2898,471335,74,"r&b, soul",-0.009449878669462564
66,6.296526022,Sam Cooke,Shake,1965,608036,2898,471335,74,,-2.4344725345708422
32,10.15315495,Bobby Darin,Beyond The Sea,1960,25328489,3068,99662,65,,2.589847317129392
99,4.818155049,Bobby Darin,You Must Have Been A Beautiful Baby,1961,318504,3068,99662,65,,-1.9060945224300188
62,6.5617772720000005,Bobby Darin,Things,1962,800658,3068,99662,65,pop rock,-1.1662880019192876
23,12.62582101,Bobby Darin,You're The Reason I'm Living,1963,30498,3068,99662,65,pop,-4.526581862330104
73,5.8912426689999995,Bobby Darin,If I Were A Carpenter,1966,787790,3068,99662,65,folk rock,-1.5525746486541525
33,9.949031357,Jimmy Clanton,Go Jimmy Go,1960,37469,565,1521,29,,-1.4165009839690867
75,5.787081067999999,Jimmy Clanton,Venus In Blue Jeans,1962,143310,565,1521,29,,-0.2600469493384381
34,9.754924552,Jackie Wilson,Night,1960,81660,4544,95994,64,pop,-3.172660309382678
95,4.9511082360000005,Jackie Wilson,Doggin' Around,1960,449692,4544,95994,64,,-1.4666616912932202
71,6.000251992999999,Jackie Wilson,Baby Workout,1963,563065,4544,95994,64,rock and roll,-1.519392756378286
