,Artist,Title,URL,GenreRaw
58,Jack Scott,Burning Bridges,,
59,Marty Robbins,El Paso,https://en.wikipedia.org/wiki/El_Paso_(song),"country, tex-mex"
60,Marty Robbins,Don't Worry,https://en.wikipedia.org/wiki/Don%27t_Worry_(Marty_Robbins_song),country
61,Hollywood Argyles,Alley Oop,https://en.wikipedia.org/wiki/Alley_Oop,
62,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,https://en.wikipedia.org/wiki/Itsy_Bitsy_Teenie_Weenie_Yellow_Polkadot_Bikini,bubblegum pop
63,Brian Hyland,Sealed With A Kiss,https://en.wikipedia.org/wiki/Sealed_with_a_Kiss,pop
64,Roy Orbison,Only The Lonely,https://en.wikipedia.org/wiki/Only_the_Lonely,"pop, rock 'n' roll"
65,Roy Orbison,Crying,https://en.wikipedia.org/wiki/Crying_(Roy_Orbison_song),"country, rock"
66,Roy Orbison,Running Scared,https://en.wikipedia.org/wiki/Running_Scared_(Roy_Orbison_song),bolero
67,Roy Orbison,Dream Baby (How Long Must I Dream),https://en.wikipedia.org/wiki/Dream_Baby_(How_Long_Must_I_Dream),
68,Roy Orbison,Mean Woman Blues,https://en.wikipedia.org/wiki/Mean_Woman_Blues,rockabilly
69,Roy Orbison,In Dreams,https://en.wikipedia.org/wiki/In_Dreams_(Roy_Orbison_album),rock
70,Roy Orbison,"Oh, Pretty Woman","https://en.wikipedia.org/wiki/Oh,_Pretty_Woman",rock
71,Roy Orbison,It's Over,https://en.wikipedia.org/wiki/It%27s_Over_(Roy_Orbison_song),
72,Dion and The Belmonts,Where Or When,https://en.wikipedia.org/wiki/Where_or_When,doo-wop
73,Connie Stevens,Sixteen Reasons,https://en.wikipedia.org/wiki/Sixteen_Reasons,traditional pop
74,Paul Anka,Puppy Love,https://en.wikipedia.org/wiki/Puppy_Love_(Paul_Anka_song),pop
75,Paul Anka,It's Time To Cry,,
76,Paul Anka,My Home Town,,
77,Paul Anka,"Tonight My Love, Tonight",,
78,Paul Anka,Love Me Warm And Tender,,
79,Frankie Avalon,Why,https://en.wikipedia.org/wiki/Why_(Frankie_Avalon_song),pop
80,The Ventures,"Walk, Don't Run","https://en.wikipedia.org/wiki/Walk,_Don%27t_Run_(instrumental)","rock, surf rock"
81,The Ventures,"Walk, Don't Run '64","https://en.wikipedia.org/wiki/Walk,_Don%27t_Run_(instrumental)","rock, surf rock"
