Artist,URL,WikiWordCount,external_urls,followers,genres,href,id,images,name,popularity,type,uri
Jack Scott,https://en.wikipedia.org/wiki/Jack_Scott_(singer),551.0,https://open.spotify.com/artist/4ucP0bNegd7Q4ewdOKIBfz,2761,adult standards|brill building pop|cowboy western|doo-wop|jump blues|rock-and-roll|rockabilly,https://api.spotify.com/v1/artists/4ucP0bNegd7Q4ewdOKIBfz,4ucP0bNegd7Q4ewdOKIBfz,https://i.scdn.co/image/147a63e7965e0be8f1c8183b9cb95919632f68c6,,34,artist,spotify:artist:4ucP0bNegd7Q4ewdOKIBfz
Marty Robbins,https://en.wikipedia.org/wiki/Marty_Robbins,1930.0,https://open.spotify.com/artist/0Xi59sEw38vRvwleSAVqoo,73354,adult standards|christmas|country|country christmas|country gospel|country rock|cowboy western|nashville sound|outlaw country|rock-and-roll|rockabilly|traditional country|traditional folk|western swing,https://api.spotify.com/v1/artists/0Xi59sEw38vRvwleSAVqoo,0Xi59sEw38vRvwleSAVqoo,https://i.scdn.co/image/980f868a623120b48dade0800610f3b9cc7e93e9,,61,artist,spotify:artist:0Xi59sEw38vRvwleSAVqoo
Hollywood Argyles,https://en.wikipedia.org/wiki/The_Hollywood_Argyles,564.0,https://open.spotify.com/artist/6af1KGKyTV3xTilHXaOuZA,154,,https://api.spotify.com/v1/artists/6af1KGKyTV3xTilHXaOuZA,6af1KGKyTV3xTilHXaOuZA,https://i.scdn.co/image/0a0859bd4a59c29f328b6061c4d59970e611f600,,18,artist,spotify:artist:6af1KGKyTV3xTilHXaOuZA
Brian Hyland,https://en.wikipedia.org/wiki/Brian_Hyland,1193.0,https://open.spotify.com/artist/6YROFUbu5zRCHi2xkir5pk,8485,adult standards|brill building pop|bubblegum pop|christmas|doo-wop|folk rock|merseybeat|rock-and-roll|rockabilly,https://api.spotify.com/v1/artists/6YROFUbu5zRCHi2xkir5pk,6YROFUbu5zRCHi2xkir5pk,https://i.scdn.co/image/797a911d6dcad3418494613924dac9af6370070e,,50,artist,spotify:artist:6YROFUbu5zRCHi2xkir5pk
Roy Orbison,https://en.wikipedia.org/wiki/Roy_Orbison,8655.0,https://open.spotify.com/artist/0JDkhL4rjiPNEp92jAgJnS,303004,adult standards|brill building pop|christmas|classic rock|folk christmas|folk rock|mellow gold|motown|rock|rock-and-roll|rockabilly|roots rock|singer-songwriter|soft rock|soul,https://api.spotify.com/v1/artists/0JDkhL4rjiPNEp92jAgJnS,0JDkhL4rjiPNEp92jAgJnS,https://i.scdn.co/image/684f6d45078b404e6b82e2c84f82859035dd3e3c,,71,artist,spotify:artist:0JDkhL4rjiPNEp92jAgJnS
Dion and The Belmonts,https://en.wikipedia.org/wiki/Dion_and_the_Belmonts,1659.0,https://open.spotify.com/artist/2loYllWFfoWpoxC5YrJKc4,39253,adult standards|brill building pop|christmas|doo-wop|rock-and-roll|rockabilly,https://api.spotify.com/v1/artists/2loYllWFfoWpoxC5YrJKc4,2loYllWFfoWpoxC5YrJKc4,https://i.scdn.co/image/24c860613f4ac4da62c81462a8f0d768aabd9020,,59,artist,spotify:artist:2loYllWFfoWpoxC5YrJKc4
Connie Stevens,https://en.wikipedia.org/wiki/Connie_Stevens,1205.0,https://open.spotify.com/artist/5dg9jB2sji4asJtjihC9AE,1566,brill building pop|deep adult standards,https://api.spotify.com/v1/artists/5dg9jB2sji4asJtjihC9AE,5dg9jB2sji4asJtjihC9AE,https://i.scdn.co/image/83c76656722e2c377b06cdaa6b7797d5a4f89935,,27,artist,spotify:artist:5dg9jB2sji4asJtjihC9AE
Paul Anka,https://en.wikipedia.org/wiki/Paul_Anka,2526.0,https://open.spotify.com/artist/7ceUfdWq2t5nbatS6ollHh,99369,adult standards|brill building pop|bubblegum pop|canadian pop|christmas|easy listening|lounge|mellow gold|rock-and-roll|rockabilly|soft rock|vocal jazz,https://api.spotify.com/v1/artists/7ceUfdWq2t5nbatS6ollHh,7ceUfdWq2t5nbatS6ollHh,https://i.scdn.co/image/2cf68a5624e8a646d51760740d83be8a3361cb71,,65,artist,spotify:artist:7ceUfdWq2t5nbatS6ollHh
Frankie Avalon,https://en.wikipedia.org/wiki/Frankie_Avalon,2080.0,https://open.spotify.com/artist/5zNOI87gG4RttFmYAZWaxQ,20543,adult standards|brill building pop|bubblegum pop|christmas|doo-wop|easy listening|lounge|merseybeat|rock-and-roll|rockabilly,https://api.spotify.com/v1/artists/5zNOI87gG4RttFmYAZWaxQ,5zNOI87gG4RttFmYAZWaxQ,https://i.scdn.co/image/098aeea8a8f7c3a4d5629f649e1966a9885eb5d5,,48,artist,spotify:artist:5zNOI87gG4RttFmYAZWaxQ
The Ventures,https://en.wikipedia.org/wiki/The_Ventures,2678.0,https://open.spotify.com/artist/2GaayiIs1kcyNqRXQuzp35,43237,brill building pop|classic rock|folk rock|lounge|rock-and-roll|rockabilly|surf music,https://api.spotify.com/v1/artists/2GaayiIs1kcyNqRXQuzp35,2GaayiIs1kcyNqRXQuzp35,https://i.scdn.co/image/59282cd37a9e8491c394748cb9a45d99e380f3b5,,51,artist,spotify:artist:2GaayiIs1kcyNqRXQuzp35
