Rank,Title,Artist,SpotifyPlaycount,Year
21,What's Going On,Marvin Gaye,47104157,1971
22,Uncle Albert/Admiral Halsey,Paul & Linda McCartney,4759115,1971
23,Ain't No Sunshine,Bill Withers,116672860,1971
24,Signs,Five Man Electrical Band,1148598,1971
25,She's a Lady,Tom Jones,18683804,1971
26,Superstar,Murray Head & The Trinidad Singers,968329,1971
27,I've Found Someone of My Own,The Free Movement,1000,1971
28,Amos Moses,Jerry Reed,5130940,1971
29,Temptation Eyes,The Grass Roots,1109703,1971
30,Superstar,The Carpenters,6726649,1971
31,My Sweet Lord,George Harrison,54321380,1971
32,Sweet and Innocent,Donny Osmond,123490,1971
33,Put Your Hand in the Hand,Ocean,154339,1971
34,Chick-A-Boom (Don't Ya Jes' Love It),Daddy Dewdrop,70143,1971
35,For All We Know,The Carpenters,3534956,1971
36,Help Me Make It Through the Night,Sammi Smith,849510,1971
37,Rainy Days and Mondays,The Carpenters,8961721,1971
38,If You Could Read My Mind,Gordon Lightfoot,11403491,1971
39,"Gypsys, Tramps & Thieves",Cher,6774892,1971
40,Never Can Say Goodbye,The Jackson 5,5884368,1971
41,Rose Garden,Lynn Anderson,11332180,1971
42,Don't Pull Your Love,"Hamilton, Joe Frank & Reynolds",1446024,1971
43,It Don't Come Easy,Ringo Starr,2084658,1971
44,Mr. Bojangles,Nitty Gritty Dirt Band,1185997,1971
45,I Love You for All Seasons,The Fuzz,733574,1971
46,Whatcha See is Whatcha Get,The Dramatics,3828989,1971
47,That's the Way I've Always Heard It Should Be,Carly Simon,1786310,1971
48,If You Really Love Me,Stevie Wonder,4779096,1971
49,Spanish Harlem,Aretha Franklin,1805614,1971
50,I Don't Know How to Love Him,Helen Reddy,754659,1971
51,Yo-Yo,The Osmonds,95245,1971
52,Bridge over Troubled Water,Aretha Franklin,2967392,1971
53,Doesn't Somebody Want to Be Wanted,The Partridge Family,278702,1971
54,Draggin' the Line,Tommy James,813494,1971
55,Proud Mary,Ike & Tina Turner,10129941,1971
56,"Beginnings/""Colour My World""",Chicago,2672948,1971
57,Stay Awhile,The Bells,235081,1971
58,Sweet City Woman,The Stampeders,1070114,1971
59,Me and You and a Dog Named Boo,Lobo,3870195,1971
60,"Another Day/""Oh Woman, Oh Why""",Paul McCartney,3394836,1971
61,If,Bread,9829066,1971
62,Mercy Mercy Me (The Ecology),Marvin Gaye,16927524,1971
63,One Toke Over the Line,Brewer & Shipley,1861747,1971
64,She's Not Just Another Woman,8th Day,1000,1971
65,Bring the Boys Home,Freda Payne,44628,1971
66,I Just Want to Celebrate,Rare Earth,1323443,1971
67,Never Ending Song of Love,Delaney & Bonnie & Friends,574343,1971
68,Easy Loving,Freddie Hart,NaN,1971
69,Liar,Three Dog Night,338989,1971
70,Stick-Up,Honey Cone,67516,1971
71,Chirpy Chirpy Cheep Cheep,Mac and Katie Kissoon,79669,1971
72,(Where Do I Begin?) Love Story,Andy Williams,3147185,1971
73,Wild World,Cat Stevens,103784359,1971
74,"When You're Hot, You're Hot",Jerry Reed,1458202,1971
75,Funky Nassau,The Beginning of the End,541938,1971
76,If Not for You,Olivia Newton-John,284108,1971
77,Groove Me,King Floyd,3767334,1971
78,Watching Scotty Grow,Bobby Goldsboro,230016,1971
79,Woodstock,Matthews Southern Comfort,1474560,1971
80,Amazing Grace,Judy Collins,222143,1971
81,I Hear You Knocking,Dave Edmunds,4414265,1971
82,Lonely Days,Bee Gees,1954151,1971
