Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Followers,Popularity,GenreRaw,GenreClean,TarPre,GenreClean2
94,4.985808764,Chubby Checker,Let's Twist Again,1961,13359395,1911,53283,56,rock and roll,rock and roll,2.508346887,rock
57,6.936215781,Elvis Presley,Can't Help Falling In Love,1962,105024049,19546,1736017,83,pop,pop,2.507906109,pop
31,10.36815025,Steppenwolf,Born To Be Wild,1968,75422669,2515,244737,68,"hard rock, proto-metal","hard rock, proto-metal",2.497551624,rock
21,13.40711287,The Rolling Stones,"Paint It, Black",1966,170214002,13624,3253295,84,"psychedelic rock, raga rock","psychedelic rock, raga rock",2.490097634,rock
64,6.425711417,Tom Jones,It's Not Unusual,1965,37632492,4563,193788,65,pop,pop,2.482898024,pop
98,4.850547815,The Chiffons,One Fine Day,1963,12190738,993,17916,52,pop,pop,2.469481028,pop
10,21.87761624,Frankie Valli,Can't Take My Eyes Off You,1967,34519703,2457,40393,63,pop rock,pop rock,2.44902922,rock
6,30.6492728,Cream,Sunshine Of Your Love,1968,68023254,3862,426817,69,"psychedelic rock, hard rock, blues rock","psychedelic rock, hard rock, blues rock",2.447799874,rock
99,4.818155049,B. J. Thomas,Hooked On A Feeling,1969,2960882,1074,30560,20,pop,pop,2.406851311,pop
11,20.54380234,The Lovin' Spoonful,Summer In The City,1966,23790469,2804,75144,58,"pop rock, psychedelic pop","pop rock, psychedelic pop",2.402045635,popRock
29,10.83471074,Barry McGuire,Eve of Destruction,1965,7190164,1344,6470,44,folk rock,folk rock,2.384768904,rock
81,5.500471104,Jefferson Airplane,White Rabbit,1967,49865242,6169,345105,68,psychedelic rock,psychedelic rock,2.346303766,rock
80,5.545754095,Johnny Cash,Ring of Fire,1963,84849162,8925,1981882,80,,,2.342128429,rock
78,5.63920084,The Kinks,You Really Got Me,1964,50309944,9987,568539,72,"hard rock, garage rock","hard rock, garage rock",2.338925025,rock
33,9.949031357,The Supremes,Baby Love,1964,44450809,5042,388007,70,"pop, r&b","pop, r&b",2.318743891,r&b
41,8.621099442,Bob Dylan,Like a Rolling Stone,1965,86632146,16836,1819059,79,folk rock,folk rock,2.313877798,rock
14,17.52086311,Jimmy Ruffin,What Becomes of the Brokenhearted,1966,16852870,1201,39014,54,soul,soul,2.294546019,r&b
32,10.15315495,Martha and The Vandellas,Heat Wave,1963,19972499,2807,77397,62,soul,soul,2.288066696,r&b
68,6.173680038,The Shangri-Las,Leader of the Pack,1964,7863614,3675,28986,47,"pop, teen tragedy, rock and roll","pop, teen tragedy, rock and roll",2.282825064,rock
9,23.45308318,Simon and GarfolkORfunkel,Mrs. Robinson,1968,111152876,5562,958297,77,folk rock,folk rock,2.281571606,rock
5,34.56844127,Sly and The Family Stone,Everyday People,1969,49029109,4729,215459,66,"psychedelic soul, folkORfunk","psychedelic soul, folkORfunk",2.27886516,r&b
9,23.45308318,The Foundations,Build Me Up Buttercup,1969,28832177,3982,16810,60,"pop, soul","pop, soul",2.273794304,r&b
78,5.63920084,The Miracles,The Tracks of My Tears,1965,28463187,5611,239780,63,soul,soul,2.269304935,r&b
13,18.39913422,Kyu Sakamoto,Sukiyaki,1963,3243351,1644,3846,38,,,2.2614213,pop
3,48.42838339,The Rolling Stones,(I Can't Get No) Satisfaction,1965,120360439,13624,3253295,84,"rock, hard rock","rock, hard rock",2.261186663,rock
33,9.949031357,The Beach Boys,Good Vibrations,1966,80929159,15103,916992,77,"psychedelic rock, art pop, acid rock, psychedelic pop, avant-pop, r&b","psychedelic rock, art pop, acid rock, psychedelic pop, avant-pop, r&b",2.259902357,r&b
13,18.39913422,Nancy Sinatra,These Boots Are Made for Walkin',1966,36897264,2938,139013,66,"pop rock, country rock","pop rock, country rock",2.245858412,rock
75,5.787081068,The Trashmen,Surfin' Bird,1964,7766580,620,15596,46,"surf rock, garage rock","surf rock, garage rock",2.238726422,rock
89,5.168953147,Los Bravos,Black Is Black,1966,5988974,562,1809,42,"beat, psychedelic rock","beat, psychedelic rock",2.231222695,rock
18,14.84294734,Billy J. Kramer and The Dakotas,Little Children,1964,480702,1328,444,9,"pop, beat","pop, beat",2.224204968,beat
22,13.00172664,Neil Diamond,Sweet Caroline,1969,72737534,5853,333588,71,soft rock,soft rock,2.205709873,rock
68,6.173680038,The Spencer Davis Group,Gimme Some Lovin',1967,20812662,1069,47331,58,"blue-eyed soul, r&b","blue-eyed soul, r&b",2.195860722,r&b
33,9.949031357,Jefferson Airplane,Somebody To Love,1967,42786915,6169,345105,68,psychedelic rock,psychedelic rock,2.193211891,rock
19,14.32262507,Sam and Dave,Soul Man,1967,29327767,4812,79480,64,soul,soul,2.192375197,r&b
38,9.064478563,Procol Harum,A Whiter Shade Of Pale,1967,19406809,2794,74547,57,baroque rock,baroque rock,2.191953314,rock
16,16.04282372,The Shirelles,Will You Love Me Tomorrow,1961,10966476,2186,51834,59,r&b,r&b,2.185431319,r&b
20,13.84586851,The Drifters,Under the Boardwalk,1964,26552965,4140,113446,65,"pop, soul","pop, soul",2.180035299,r&b
7,27.68441135,Paul and Paula,Hey Paula,1963,2224593,506,1425,33,"pop, pop rock","pop, pop rock",2.17373506,popRock
30,10.59497587,The McCoys,Hang On Sloopy,1965,5522188,499,5355,43,garage rock,garage rock,2.135857539,rock
62,6.561777272,The Kinks,All Day and All of the Night,1965,46065659,9987,568539,72,"garage rock, hard rock, proto-punk","garage rock, hard rock, proto-punk",2.124816009,rock
29,10.83471074,Jay and The Americans,Come a Little Bit Closer,1964,14422507,978,15636,58,rock,rock,2.118040657,rock
7,27.68441135,Frank and Nancy Sinatra,Somethin' Stupid,1967,23630585,1520,139115,60,"pop, bolero, jazz","pop, bolero, jazz",2.112604364,jazz
19,14.32262507,Ray Charles,Hit The Road Jack,1961,34945564,6315,872966,72,"r&b, jazz","r&b, jazz",2.102438792,r&b
35,9.570069478,Jimmy Soul,If You Wanna Be HappyIf You Wanna Be Happy,1963,2485964,338,1768,35,doo-wop,doo-wop,2.100849331,r&b
93,5.021127552,Aretha Franklin,I Say A Little Prayer,1968,73432380,4631,857587,75,soul,soul,2.094586403,r&b
15,16.74093727,Manfred Mann,Do Wah Diddy Diddy,1964,12837467,1907,56164,56,pop rock,pop rock,2.081754534,popRock
84,5.370017132,Wilson Pickett,"Land Of 1,000 Dances",1966,25042907,3001,143527,63,rhythm and blues,r&b,2.050741317,r&b
81,5.500471104,Cream,White Room,1968,45651039,3862,426817,69,psychedelic rock,psychedelic rock,2.048976623,rock
12,19.39725958,Bobby Vee,Take Good Care Of My Baby,1961,8915018,1614,35092,55,"rock and roll, pop","rock and roll, pop",2.046451332,rock
4,40.05349388,Four Tops,Reach Out I'll Be There,1966,33855176,3598,221819,68,soul,soul,2.044339568,r&b
21,13.40711287,The Dixie Cups,Chapel of Love,1964,6887338,963,11861,49,"pop, r&b, soul","pop, r&b, soul",2.028131845,r&b
15,16.74093727,Junior Walker and the All Stars,Shotgun,1965,14223043,1102,33499,58,soul,soul,2.023177133,r&b
55,7.101672245,Frankie Valli and The Four Seasons,Sherry,1962,19154727,4256,157449,67,,,1.998206845,rock
5,34.56844127,The Righteous Brothers,You've Lost That Lovin' Feelin',1965,20772397,2658,86133,64,"pop, r&b, blue-eyed soul","pop, r&b, blue-eyed soul",1.994941004,r&b
75,5.787081068,Dinah Washington and Brook Benton,A Rockin' Good Way,1960,881349,1481,109712,30,,,1.992418243,r&b
25,11.94977132,The Byrds,Mr. Tambourine Man,1965,22318155,13506,191316,66,"folk rock, jangle pop","folk rock, jangle pop",1.971605304,rock
70,6.056689273,Mary Wells,You Beat Me To The Punch,1962,10101881,2824,61278,59,soul,soul,1.970696009,r&b
26,11.64441273,Little Peggy March,I Will Follow Him,1963,2217411,941,1439,38,pop,pop,1.944674523,pop
