				playcount	new_rank
54	Bobby Freeman	C'mon And Swim	1964	14701	
55	Beatles	Do You Want To Know A Secret	1964	8066285	
56	Impressions	Keep On Pushing	1964	1556196	
57	Four Tops	Baby I Need Your Loving	1964	5096779	
58	Diane Renay	Navy Blue	1964	62333	
59	Bachelors	Diane	1964	228483	
60	Marketts	Out Of Limits	1964	3076822	
61	Hondells	Little Honda	1964	97458	
62	Bobby Goldsboro	See The Funny Little Clown	1964	63758	
63	Dave Clark Five	Because	1964	233636	
64	Reflections	(Just Like) Romeo And Juliet	1964	1000	
65	Rick Nelson	For You	1964	91338	
66	New Christy Minstrels	Today	1964	158773	
67	Dave Clark Five	Can't You See That She's Mine	1964	1000	
68	Shangri-Las	Leader Of The Pack	1964	7863614	
69	Joe Hinton	Funny	1964	16014	
70	Temptations	The Way You Do The Things You Do	1964	19638035	
71	Dionne Warwick	Anyone Who Had A Heart	1964	1556585	
72	Al Martino	I Love You More And More Every Day	1964	31323	
73	Roy Orbison	It's Over	1964	1783252	
74	Four Seasons	Ronnie	1964	1000	
75	Trashmen	Surfin' Bird	1964	7766580	
76	Tams	What Kind Of Fool (Do You Think I Am)	1964	205186	
77	Dean Martin	The Door Is Still Open To My Heart	1964	1013765	
78	Kinks	You Really Got Me	1964	50309944	
79	Sammy Davis Jr.	The Shelter Of Your Arms	1964	133430	
80	Impressions	I'm So Proud	1964	1969494	
81	Jelly Beans	I Wanna Love Him So Bad	1964	47284	
82	Roger Miller	Chug-a-lug	1964	1614734	
83	Roger Miller	Dang Me	1964	1148328	
84	Al Hirt	Cotton Candy	1964	45946	
85	Nancy Wilson	(You Don't Know) How Glad I Am	1964	857873	
86	Kingsmen	Money	1964	1000	
87	Searchers	Don't Throw Your Love Away	1964	552635	
88	Tommy Tucker	Hi-heel Sneakers	1964	1000	
89	Gerry and The Pacemakers	How Do You Do It!	1964	216444	
90	Ventures	Walk Don't Run '64	1964	62271	
91	Dave Clark Five	Do You Love Me	1964	5876	
