Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Followers,Popularity,Grammy,Genre,beat,country,easyListening,folkORfunk,instrumental,jazz,pop,popRock,r&b,rock,rockabilly,sunshinePop,traditionalPop
11,20.54380234,Connie Francis,Everybody's Somebody's Fool,1960,2306079,4607,58984,57,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
17,15.41358678,Connie Francis,My Heart Has A Mind Of Its Own,1960,365549,4607,58984,57,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
68,6.173680038,Connie Francis,Mama,1960,279627,4607,58984,57,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
73,5.891242669,Connie Francis,Among My Souvenirs,1960,1725415,4607,58984,57,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
18,14.84294734,Connie Francis,Where The Boys Are,1961,1961350,4607,58984,57,0,traditionalPop,0,0,0,0,0,0,0,0,0,0,0,0,1
80,5.545754095,Connie Francis,Breakin' In A Brand New Broken Heart,1961,184122,4607,58984,57,0,country,0,1,0,0,0,0,0,0,0,0,0,0,0
31,10.36815025,Connie Francis,Don't Break The Heart That Loves You,1962,259505,4607,58984,57,0,country,0,1,0,0,0,0,0,0,0,0,0,0,0
12,19.39725958,Bobby Rydell,Wild One,1960,211513,1069,11311,44,0,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
54,7.188199443,Bobby Rydell,Volare,1960,221099,1069,11311,44,0,traditionalPop,0,0,0,0,0,0,0,0,0,0,0,0,1
74,5.838577711,Bobby Rydell,Swingin' School,1960,73006,1069,11311,44,0,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
96,4.917008807,Bobby Rydell,Little Bitty Girl,1960,98402,1069,11311,44,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
87,5.247075258,Bobby Rydell,Good Time Baby,1961,58354,1069,11311,44,0,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
93,5.021127552,Bobby Rydell,I'll Never Dance Again,1962,76708,1069,11311,44,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
13,18.39913422,Brothers Four,Greenfields,1960,880380,693,6993,45,0,sunshinePop,0,0,0,0,0,0,0,0,0,0,0,1,0
14,17.52086311,Jack Scott,What In The World's Come Over You,1960,192575,551,2761,34,0,rockabilly,0,0,0,0,0,0,0,0,0,0,1,0,0
35,9.570069478,Jack Scott,Burning Bridges,1960,123257,551,2761,34,0,rockabilly,0,0,0,0,0,0,0,0,0,0,1,0,0
15,16.74093727,Marty Robbins,El Paso,1960,8663683,1930,73354,61,0,country,0,1,0,0,0,0,0,0,0,0,0,0,0
28,11.08857401,Marty Robbins,Don't Worry,1961,321791,1930,73354,61,0,country,0,1,0,0,0,0,0,0,0,0,0,0,0
16,16.04282372,Hollywood Argyles,Alley Oop,1960,218008,564,154,18,0,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
19,14.32262507,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,1960,3452011,1193,8485,50,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
29,10.83471074,Brian Hyland,Sealed With A Kiss,1962,3465190,1193,8485,50,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
20,13.84586851,Roy Orbison,Only The Lonely,1960,15956833,8655,303004,71,0,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
4,40.05349388,Roy Orbison,Crying,1961,10605581,8655,303004,71,0,country,0,1,0,0,0,0,0,0,0,0,0,0,0
13,18.39913422,Roy Orbison,Running Scared,1961,2391967,8655,303004,71,0,easyListening,0,0,1,0,0,0,0,0,0,0,0,0,0
65,6.360293906,Roy Orbison,Dream Baby (How Long Must I Dream),1962,1882078,8655,303004,71,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
46,7.990608098,Roy Orbison,Mean Woman Blues,1963,709991,8655,303004,71,0,rockabilly,0,0,0,0,0,0,0,0,0,0,1,0,0
59,6.780124557,Roy Orbison,In Dreams,1963,11402194,8655,303004,71,0,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
4,40.05349388,Roy Orbison,"Oh, Pretty Woman",1964,61232906,8655,303004,71,0,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
73,5.891242669,Roy Orbison,It's Over,1964,1783252,8655,303004,71,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
21,13.40711287,Dion and The Belmonts,Where Or When,1960,799005,1659,39253,59,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
22,13.00172664,Connie Stevens,Sixteen Reasons,1960,272674,1205,1566,27,0,traditionalPop,0,0,0,0,0,0,0,0,0,0,0,0,1
23,12.62582101,Paul Anka,Puppy Love,1960,1666967,2526,99369,65,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
66,6.296526022,Paul Anka,It's Time To Cry,1960,109090,2526,99369,65,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
77,5.687430745,Paul Anka,My Home Town,1960,289664,2526,99369,65,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
85,5.328236693,Paul Anka,"Tonight My Love, Tonight",1961,339702,2526,99369,65,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
76,5.736711756,Paul Anka,Love Me Warm And Tender,1962,831928,2526,99369,65,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
24,12.27610461,Frankie Avalon,Why,1960,378916,2080,20543,48,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
25,11.94977132,The Ventures,"Walk, Don't Run",1960,4127116,2678,43237,51,0,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
90,5.130975533,The Ventures,"Walk, Don't Run '64",1964,62271,2678,43237,51,0,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
58,6.857053284,The Ventures,Hawaii Five-O,1969,2718842,2678,43237,51,0,instrumental,0,0,0,0,1,0,0,0,0,0,0,0,0
26,11.64441273,The Drifters,Save The Last Dance For Me,1960,11458687,4140,113446,65,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
100,4.786300923,The Drifters,Please Stay,1961,374740,4140,113446,65,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
75,5.787081068,The Drifters,Up on the Roof,1963,5920655,4140,113446,65,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
20,13.84586851,The Drifters,Under the Boardwalk,1964,26552965,4140,113446,65,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
27,11.35794904,Dinah Washington and Brook Benton,Baby (You've Got What It Takes),1960,5561544,1481,109712,30,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
75,5.787081068,Dinah Washington and Brook Benton,A Rockin' Good Way,1960,881349,1481,109712,30,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
28,11.08857401,Johnny Horton,Sink The Bismark,1960,1971530,1545,34800,53,0,country,0,1,0,0,0,0,0,0,0,0,0,0,0
29,10.83471074,Sam Cooke,Chain Gang,1960,21685399,2898,471335,74,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
80,5.545754095,Sam Cooke,Wonderful World,1960,93708300,2898,471335,74,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
23,12.62582101,Sam Cooke,Twistin' The Night Away,1962,12685198,2898,471335,74,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
52,7.369496097,Sam Cooke,Having A Party,1962,3377142,2898,471335,74,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
67,6.234342105,Sam Cooke,Little Red Rooster,1963,1246121,2898,471335,74,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
