Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Followers,Popularity,GenreRaw,GenreClean,Tar-Pre
6,30.6492728,Cream,Sunshine Of Your Love,1968,68023254,3862,426817,69,"psychedelic rock, hard rock, blues rock","psychedelic rock, hard rock, blues rock",2.447799874
99,4.818155049,B. J. Thomas,Hooked On A Feeling,1969,2960882,1074,30560,20,pop,pop,2.406851311
11,20.54380234,The Lovin' Spoonful,Summer In The City,1966,23790469,2804,75144,58,"pop rock, psychedelic pop","pop rock, psychedelic pop",2.402045635
29,10.83471074,Barry McGuire,Eve of Destruction,1965,7190164,1344,6470,44,folk rock,folk rock,2.384768904
81,5.500471104,Jefferson Airplane,White Rabbit,1967,49865242,6169,345105,68,psychedelic rock,psychedelic rock,2.346303766
78,5.63920084,The Kinks,You Really Got Me,1964,50309944,9987,568539,72,"hard rock, garage rock","hard rock, garage rock",2.338925025
33,9.949031357,The Supremes,Baby Love,1964,44450809,5042,388007,70,"pop, r&b","pop, r&b",2.318743891
41,8.621099442,Bob Dylan,Like a Rolling Stone,1965,86632146,16836,1819059,79,folk rock,folk rock,2.313877798
14,17.52086311,Jimmy Ruffin,What Becomes of the Brokenhearted,1966,16852870,1201,39014,54,soul,soul,2.294546019
32,10.15315495,Martha and The Vandellas,Heat Wave,1963,19972499,2807,77397,62,soul,soul,2.288066696
68,6.173680038,The Shangri-Las,Leader of the Pack,1964,7863614,3675,28986,47,"pop, teen tragedy, rock and roll","pop, teen tragedy, rock and roll",2.282825064
9,23.45308318,Simon and Garfunkel,Mrs. Robinson,1968,111152876,5562,958297,77,folk rock,folk rock,2.281571606
5,34.56844127,Sly and The Family Stone,Everyday People,1969,49029109,4729,215459,66,"psychedelic soul, funk","psychedelic soul, funk",2.27886516
9,23.45308318,The Foundations,Build Me Up Buttercup,1969,28832177,3982,16810,60,"pop, soul","pop, soul",2.273794304
78,5.63920084,The Miracles,The Tracks of My Tears,1965,28463187,5611,239780,63,soul,soul,2.269304935
3,48.42838339,The Rolling Stones,(I Can't Get No) Satisfaction,1965,120360439,13624,3253295,84,"rock, hard rock","rock, hard rock",2.261186663
33,9.949031357,The Beach Boys,Good Vibrations,1966,80929159,15103,916992,77,"psychedelic rock, art pop, acid rock, psychedelic pop, avant-pop, r&b","psychedelic rock, art pop, acid rock, psychedelic pop, avant-pop, r&b",2.259902357
13,18.39913422,Nancy Sinatra,These Boots Are Made for Walkin',1966,36897264,2938,139013,66,"pop rock, country rock","pop rock, country rock",2.245858412
75,5.787081068,The Trashmen,Surfin' Bird,1964,7766580,620,15596,46,"surf rock, garage rock","surf rock, garage rock",2.238726422
89,5.168953147,Los Bravos,Black Is Black,1966,5988974,562,1809,42,"beat, psychedelic rock","beat, psychedelic rock",2.231222695
18,14.84294734,Billy J. Kramer and The Dakotas,Little Children,1964,480702,1328,444,9,"pop, beat","pop, beat",2.224204968
22,13.00172664,Neil Diamond,Sweet Caroline,1969,72737534,5853,333588,71,soft rock,soft rock,2.205709873
68,6.173680038,The Spencer Davis Group,Gimme Some Lovin',1967,20812662,1069,47331,58,"blue-eyed soul, r&b","blue-eyed soul, r&b",2.195860722
33,9.949031357,Jefferson Airplane,Somebody To Love,1967,42786915,6169,345105,68,psychedelic rock,psychedelic rock,2.193211891
19,14.32262507,Sam and Dave,Soul Man,1967,29327767,4812,79480,64,soul,soul,2.192375197
38,9.064478563,Procol Harum,A Whiter Shade Of Pale,1967,19406809,2794,74547,57,baroque rock,baroque rock,2.191953314
16,16.04282372,The Shirelles,Will You Love Me Tomorrow,1961,10966476,2186,51834,59,r&b,r&b,2.185431319
20,13.84586851,The Drifters,Under the Boardwalk,1964,26552965,4140,113446,65,"pop, soul","pop, soul",2.180035299
7,27.68441135,Paul and Paula,Hey Paula,1963,2224593,506,1425,33,"pop, pop rock","pop, pop rock",2.17373506
30,10.59497587,The McCoys,Hang On Sloopy,1965,5522188,499,5355,43,garage rock,garage rock,2.135857539
62,6.561777272,The Kinks,All Day and All of the Night,1965,46065659,9987,568539,72,"garage rock, hard rock, proto-punk","garage rock, hard rock, proto-punk",2.124816009
29,10.83471074,Jay and The Americans,Come a Little Bit Closer,1964,14422507,978,15636,58,rock,rock,2.118040657
7,27.68441135,Frank and Nancy Sinatra,Somethin' Stupid,1967,23630585,1520,139115,60,"pop, bolero, jazz","pop, bolero, jazz",2.112604364
19,14.32262507,Ray Charles,Hit The Road Jack,1961,34945564,6315,872966,72,"r&b, jazz","r&b, jazz",2.102438792
35,9.570069478,Jimmy Soul,If You Wanna Be HappyIf You Wanna Be Happy,1963,2485964,338,1768,35,doo-wop,doo-wop,2.100849331
93,5.021127552,Aretha Franklin,I Say A Little Prayer,1968,73432380,4631,857587,75,soul,soul,2.094586403
15,16.74093727,Manfred Mann,Do Wah Diddy Diddy,1964,12837467,1907,56164,56,pop rock,pop rock,2.081754534
84,5.370017132,Wilson Pickett,"Land Of 1,000 Dances",1966,25042907,3001,143527,63,rhythm and blues,r&b,2.050741317
81,5.500471104,Cream,White Room,1968,45651039,3862,426817,69,psychedelic rock,psychedelic rock,2.048976623
12,19.39725958,Bobby Vee,Take Good Care Of My Baby,1961,8915018,1614,35092,55,"rock and roll, pop","rock and roll, pop",2.046451332
4,40.05349388,Four Tops,Reach Out I'll Be There,1966,33855176,3598,221819,68,soul,soul,2.044339568
21,13.40711287,The Dixie Cups,Chapel of Love,1964,6887338,963,11861,49,"pop, r&b, soul","pop, r&b, soul",2.028131845
15,16.74093727,Junior Walker and the All Stars,Shotgun,1965,14223043,1102,33499,58,soul,soul,2.023177133
5,34.56844127,The Righteous Brothers,You've Lost That Lovin' Feelin',1965,20772397,2658,86133,64,"pop, r&b, blue-eyed soul","pop, r&b, blue-eyed soul",1.994941004
25,11.94977132,The Byrds,Mr. Tambourine Man,1965,22318155,13506,191316,66,"folk rock, jangle pop","folk rock, jangle pop",1.971605304
70,6.056689273,Mary Wells,You Beat Me To The Punch,1962,10101881,2824,61278,59,soul,soul,1.970696009
26,11.64441273,Little Peggy March,I Will Follow Him,1963,2217411,941,1439,38,pop,pop,1.944674523
89,5.168953147,The Lovin' Spoonful,Do You Believe in Magic,1965,13364245,2804,75144,58,"folk rock, sunshine pop","folk rock, sunshine pop",1.942998064
73,5.891242669,Harry Nilsson,Everybody's Talkin',1969,28984946,5091,84021,63,soft rock,soft rock,1.927757742
2,63.2878297,The Beach Boys,Surfin' U.S.A.,1963,40283487,15103,916992,77,"surf rock, rock and roll","surf rock, rock and roll",1.926728738
62,6.561777272,Steppenwolf,Magic Carpet Ride,1968,42602063,2515,244737,68,"acid rock, psychedelic rock, hard rock","acid rock, psychedelic rock, hard rock",1.926346423
69,6.114481004,The Yardbirds,Heart Full of Soul,1965,14356985,5123,163619,59,raga rock,raga rock,1.915727601
60,6.705330284,The Marketts,Out of Limits,1964,3076822,390,3121,39,surf rock,surf rock,1.912177842
1,100,Percy Faith,"Theme From ""A Summer Place""",1960,5001152,1180,9877,52,easy listening,easy listening,1.901440127
86,5.287264321,Jimmy Dean,Big Bad John,1961,2739818,1804,13340,43,"country, pop","country, pop",1.897999195
24,12.27610461,The Troggs,Wild Thing,1966,10680673,1786,54219,53,"garage rock, hard rock, proto-punk","garage rock, hard rock, proto-punk",1.89532517
25,11.94977132,The Ventures,"Walk, Don't Run",1960,4127116,2678,43237,51,"rock, surf rock","rock, surf rock",1.873135245
78,5.63920084,Kenny Rogers and The First Edition,"Ruby, Don't Take Your Love To Town",1969,6029763,5172,4793,44,"country, pop","country, pop",1.868246242
24,12.27610461,Creedence Clearwater Revival,Bad Moon Rising,1969,115917311,4802,1379818,81,"roots rock, swamp rock, country rock","roots rock, swamp rock, country rock",1.868098198
76,5.736711756,Rosie and The Originals,Angel Baby,1961,3204938,827,8737,47,doo-wop,doo-wop,1.826787137
95,4.951108236,Bobby Fuller Four,I Fought The Law,1966,5019487,1299,4617,45,garage rock,garage rock,1.826386487
26,11.64441273,The Drifters,Save The Last Dance For Me,1960,11458687,4140,113446,65,"r&b, pop","r&b, pop",1.819209153
15,16.74093727,Marty Robbins,El Paso,1960,8663683,1930,73354,61,"country, tex-mex","country, tex-mex",1.800981302
20,13.84586851,The Supremes,Stop! In the Name of Love,1965,29765413,5042,388007,70,"pop, r&b, soul","pop, r&b, soul",1.791733799
29,10.83471074,Lesley Gore,It's My Party,1963,6895751,1458,27747,54,"pop, rock, blue-eyed soul","pop, rock, blue-eyed soul",1.787475165
2,63.2878297,The 5th Dimension,Aquarius / Let The Sunshine In,1969,11308691,2394,33627,53,"psychedelic soul, sunshine pop","psychedelic soul, sunshine pop",1.762097821
6,30.6492728,Bobby Vinton,Blue Velvet,1963,8522784,1732,40275,58,traditional pop,traditional pop,1.758970232
6,30.6492728,Petula Clark,Downtown,1965,7403339,4478,44484,53,soul,soul,1.745216317
34,9.754924552,The Rooftop Singers,Walk Right In,1963,1048770,428,961,29,"folk, bluegrass","folk, bluegrass",1.743779527
29,10.83471074,Sam Cooke,Chain Gang,1960,21685399,2898,471335,74,"rhythm and blues, soul","r&b, soul",1.739146754
20,13.84586851,Roy Orbison,Only The Lonely,1960,15956833,8655,303004,71,"pop, rock 'n' roll","pop, rock and roll",1.737486834
63,6.49284802,Jackie DeShannon,What the World Needs Now Is Love,1965,4468238,2242,8331,47,"folk rock, jazz, soul","folk rock, jazz, soul",1.731956557
93,5.021127552,Edwin Hawkins Singers,Oh Happy Day,1969,4019864,785,2232,38,gospel,gospel,1.728201466
43,8.35431448,"Clarence ""Frogman"" Henry",(I Don't Know Why) But I Do,1961,1646381,553,3594,39,"r&b, swamp pop, country","r&b, swamp pop, country",1.719658697
5,34.56844127,The Beach Boys,I Get Around,1964,36498083,15103,916992,77,"california sound, pop, surf vocal, car song","california sound, pop, surf vocal, car song",1.70656053
19,14.32262507,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,1960,3452011,1193,8485,50,bubblegum pop,bubblegum pop,1.688926407
66,6.296526022,The Easybeats,Friday On My Mind,1967,6038048,4259,16041,49,"pop rock, garage rock","pop rock, garage rock",1.68890447
81,5.500471104,Doris Troy,Just One Look,1963,2024598,542,3167,39,rhythm and blues,r&b,1.662585176
67,6.234342105,The Human Beinz,Nobody But Me,1968,3919199,835,3328,40,"rock, garage rock","rock, garage rock",1.659618947
46,7.990608098,James and Bobby Purify,I'm Your Puppet,1966,3820190,566,4017,43,r&b,r&b,1.658192089
6,30.6492728,The Doors,Light My Fire,1967,53866236,8577,1978221,78,psychedelic rock,psychedelic rock,1.652381128
39,8.910403258,Carla Thomas,B-A-B-Y,1966,9284829,1161,13292,57,"r&b, pop","r&b, pop",1.632543687
27,11.35794904,The Marvelettes,Playboy,1962,8011077,3009,65203,60,"pop, r&b","pop, r&b",1.632512781
88,5.207645782,Marvin Gaye,I Heard It Through The Grapevine,1969,73644587,7086,1499687,78,"r&b, psychedelic soul","r&b, psychedelic soul",1.629893836
51,7.4645509,Shirley Bassey,Goldfinger,1965,7846673,4467,74478,55,"pop, orchestral pop, r&b","pop, orchestral pop, r&b",1.628283953
10,21.87761624,The Supremes,Where Did Our Love Go,1964,22205872,5042,388007,70,"r&b, pop, doo-wop","r&b, pop, doo-wop",1.624717488
38,9.064478563,The Isley Brothers,Twist And Shout,1962,16962564,2160,387904,69,"rock and roll, r&b","rock and roll, r&b",1.622313692
20,13.84586851,Sly and The Family Stone,Dance To The Music,1968,22774230,4729,215459,66,"psychedelic soul, funk","psychedelic soul, funk",1.615345023
46,7.990608098,Dion,Runaround Sue,1961,27540370,3245,941947,79,"doo-wop, rock and roll","doo-wop, rock and roll",1.604344581
77,5.687430745,Curtis Lee,Pretty Little Angel Eyes,1961,847297,1967,1158,33,"pop, doo-wop","pop, doo-wop",1.599841181
25,11.94977132,The Beatles with Billy Preston,Get Back,1969,27161082,3613,16112,70,blues rock,blues rock,1.595275581
50,7.562750921,Chad and Jeremy,A Summer Song,1964,2344444,1030,8629,39,pop,pop,1.589664072
12,19.39725958,Dion,The Wanderer,1962,30747630,3245,941947,79,"rhythm and blues, pop, rock and roll","r&b, pop, rock and roll",1.58872189
94,4.985808764,Aretha Franklin,Think,1968,44177032,4631,857587,75,soul,soul,1.586426436
4,40.05349388,The Cascades,Rhythm Of The Rain,1963,3825570,651,10722,48,"pop, doo-wop","pop, doo-wop",1.581655669
94,4.985808764,The Monkees,Daydream Believer,1967,20192730,18620,203117,66,psychedelic pop,psychedelic pop,1.572296073
26,11.64441273,Zager and Evans,In The Year 2525,1969,5177087,704,1710,45,folk rock,folk rock,1.57213606
34,9.754924552,Wayne Fontana and The Mindbenders,Game of Love,1965,1630980,522,2826,34,"beat, garage rock, blues rock","beat, garage rock, blues rock",1.54049293
24,12.27610461,The Miracles,Shop Around,1961,8287327,5611,239780,63,soul,soul,1.538551572
28,11.08857401,Jan and Dean,Surf City,1963,2529316,4719,11325,45,vocal surf,vocal surf,1.537725521
49,7.664266318,Ricky Nelson,Hello Mary Lou,1961,5626492,4885,61434,56,rockabilly,rockabilly,1.536955322
56,7.017717833,The Crystals,Da Doo Ron Ron,1963,6562159,1856,27866,57,"r&b, pop, doo-wop","r&b, pop, doo-wop",1.53318159
12,19.39725958,Roger Miller,King of the Road,1965,7828198,3536,36057,57,country,country,1.530791089
47,7.877989793,The Lemon Pipers,Green Tambourine,1968,2827207,1228,4252,37,"psychedelic rock, psychedelic pop, bubblegum pop","psychedelic rock, psychedelic pop, bubblegum pop",1.527625545
33,9.949031357,Neil Sedaka,Calendar Girl,1961,6665463,7962,68157,59,brill building,brill building,1.527339852
33,9.949031357,James Brown,Papa's Got a Brand New Bag,1965,22403335,12563,775026,71,"soul, funk, rhythm and blues","soul, funk, r&b",1.522380728
16,16.04282372,"Peter, Paul and Mary","Puff, The Magic Dragon",1963,7184102,1386,94676,57,"folk, pop","folk, pop",1.514742154
5,34.56844127,? and the Mysterians,96 Tears,1966,3040043,1979,7446,42,"garage rock, pop rock, psychedelic rock","garage rock, pop rock, psychedelic rock",1.501058435
17,15.41358678,The Young Rascals,Good Lovin',1966,4783568,2093,20025,48,"rhythm and blues, blue-eyed soul","r&b, blue-eyed soul",1.495644891
41,8.621099442,The Lovin' Spoonful,Daydream,1966,9579486,2804,75144,58,folk rock,folk rock,1.492384534
15,16.74093727,The Mar-Keys,Last Night,1961,1118216,1102,5742,36,"r&b, instrumental rock","r&b, instrumental rock",1.491765224
42,8.485070759,Ruby And The Romantics,Our Day Will Come,1963,634923,1335,744,27,r&b,r&b,1.483319601
49,7.664266318,The Cowsills,"The Rain, The Park And Other Things",1967,3174001,2784,12812,42,psychedelic pop,psychedelic pop,1.47970887
67,6.234342105,Ray Peterson,Tell Laura I Love Her,1960,1317706,527,3375,38,pop,pop,1.479432825
10,21.87761624,Archie Bell and The Drells,Tighten Up,1968,3636744,929,5752,43,funk,funk,1.47310543
23,12.62582101,Strawberry Alarm Clock,Incense And Peppermints,1967,3209861,2881,16998,42,"psychedelic rock, acid rock, psychedelic pop","psychedelic rock, acid rock, psychedelic pop",1.465391883
10,21.87761624,Tommy James and The Shondells,Crimson And Clover,1969,11905252,1401,43850,56,"psychedelic pop, psychedelic rock","psychedelic pop, psychedelic rock",1.455822457
64,6.425711417,The Reflections,(Just Like) Romeo and Juliet,1964,182525,623,227,6,"pop, doo-wop","pop, doo-wop",1.45306064
29,10.83471074,Brian Hyland,Sealed With A Kiss,1962,3465190,1193,8485,50,pop,pop,1.452953343
48,7.769280177,The Yardbirds,For Your Love,1965,8967649,5123,163619,59,pop rock,pop rock,1.445114564
43,8.35431448,Mason Williams,Classical Gas,1968,2922557,1908,3521,40,"easy listening, classical, baroque pop","easy listening, classical, baroque pop",1.444623992
2,63.2878297,Patsy Cline,I Fall To Pieces,1961,8098285,8503,201170,62,"country, traditional pop","country, traditional pop",1.438613691
11,20.54380234,The Music Explosion,Little Bit O' Soul,1967,568383,552,223,20,"pop rock, garage rock","pop rock, garage rock",1.431845605
36,9.393779234,Lesley Gore,You Don't Own Me,1964,5423583,1458,27747,54,"pop, r&b","pop, r&b",1.429232346
5,34.56844127,The Chiffons,He's So Fine,1963,4300451,993,17916,52,"pop, doo-wop","pop, doo-wop",1.427524446
11,20.54380234,Jeannie C. Riley,Harper Valley P.T.A.,1968,2780119,1067,8772,39,"country, country pop","country, country pop",1.418395739
27,11.35794904,The Chantays,Pipeline,1963,1118918,674,2907,34,surf rock,surf rock,1.409636986
30,10.59497587,Peter and Gordon,A World Without Love,1964,2782696,951,12316,44,pop,pop,1.407789737
94,4.985808764,The Ikettes,I'm Blue (The Gong-Gong Song),1962,430899,1813,946,24,"blues, r&b, rock 'n' roll","blues, r&b, rock and roll",1.397845567
100,4.786300923,The Searchers,Needles and Pins,1964,3843254,3308,35327,50,"jangle pop, merseybeat, british rock and roll","jangle pop, merseybeat, british rock and roll",1.395990648
15,16.74093727,Neil Sedaka,Breaking Up Is Hard To Do,1962,6350083,7962,68157,59,"brill building, doo-wop","brill building, doo-wop",1.386347239
26,11.64441273,The Newbeats,Bread and Butter,1964,469577,566,528,21,pop,pop,1.385742662
9,23.45308318,The Young Rascals,Groovin',1967,4783568,2093,20025,48,"r&b, blue-eyed soul","r&b, blue-eyed soul",1.375744946
48,7.769280177,The Temptations,Ain't Too Proud to Beg,1966,26620715,9521,663199,73,"soul, r&b","soul, r&b",1.364374383
1,100,Sam the Sham and the Pharaohs,Wooly Bully,1965,3020229,1129,7727,46,"rock and roll, garage rock","rock and roll, garage rock",1.364273791
14,17.52086311,Mel Carter,"Hold Me, Thrill Me, Kiss Me",1965,1339521,265,1470,34,"pop music, soul","pop music, soul",1.363248701
7,27.68441135,The Mamas and The Papas,"Monday, Monday",1966,16358219,5544,243320,67,"sunshine pop, folk rock","sunshine pop, folk rock",1.352922432
36,9.393779234,The Capitols,Cool Jerk,1966,1499894,879,1189,35,rhythm and blues,r&b,1.348932446
18,14.84294734,Elvis Presley,Suspicious Minds,1969,76262262,19546,1736017,83,"rock, country, soul, pop","rock, country, soul, pop",1.34865247
56,7.017717833,The Temptations,You're My Everything,1967,29435462,9521,663199,73,soul,soul,1.338910837
2,63.2878297,Jim Reeves,He'll Have To Go,1960,4377343,4240,59717,59,"country, pop","country, pop",1.327262542
30,10.59497587,Mary Hopkin,Those Were The Days,1968,2920155,2131,6191,41,folk,folk,1.326298671
92,5.057082445,Eddie Hodges,I'm Gonna Knock On Your Door,1961,568081,688,715,31,pop,pop,1.324756658
70,6.056689273,The Temptations,The Way You Do the Things You Do,1964,19638035,9521,663199,73,"soul, doo-wop, r&b, pop","soul, doo-wop, r&b, pop",1.312100983
16,16.04282372,The Youngbloods,Get Together,1969,4951529,1084,15520,45,"folk rock, psychedelic rock","folk rock, psychedelic rock",1.308232063
64,6.425711417,Count Five,Psychotic Reaction,1966,2591519,694,6598,42,"garage rock, acid rock, psychedelic rock, proto-punk","garage rock, acid rock, psychedelic rock, proto-punk",1.30655564
68,6.173680038,Chris Montez,Let's Dance,1962,2039928,1050,4991,46,rock and roll,rock and roll,1.302530661
21,13.40711287,The Isley Brothers,It's Your Thing,1969,28175220,2160,387904,69,funk,funk,1.279343568
31,10.36815025,The Honeycombs,Have I the Right?,1964,1006483,2399,5274,33,pop,pop,1.254051047
13,18.39913422,Gene Chandler,Duke Of Earl,1962,1890074,1289,15582,45,"soul, doo-wop","soul, doo-wop",1.248359869
20,13.84586851,The Surfaris,Wipe Out,1963,1632562,930,9502,41,surf rock,surf rock,1.244342093
84,5.370017132,Rolf Harris,"Tie Me Kangaroo Down, Sport",1963,699358,5455,4912,31,folk/pop,folk/pop,1.232965746
15,16.74093727,Gary Puckett and The Union Gap,Young Girl,1968,5359097,1275,28054,51,pop,pop,1.228472873
49,7.664266318,The Standells,Dirty Water,1966,1416973,2084,4580,35,"garage rock, proto-punk","garage rock, proto-punk",1.22830987
33,9.949031357,Randy and The Rainbows,Denise,1963,639192,409,1122,29,doo-wop,doo-wop,1.228281254
71,6.000251993,Barbara Lynn,You'll Lose A Good Thing,1962,1657027,714,8960,43,rhythm & blues,r&b,1.225101562
37,9.225435188,Dionne Warwick,Walk On By,1964,8336468,7251,158688,63,"soul, pop","soul, pop",1.223491671
13,18.39913422,Jewel Akens,The Birds and the Bees,1965,502507,298,354,23,"pop, easy listening","pop, easy listening",1.213325563
45,8.107365283,Faron Young,Hello Walls,1961,1490230,1733,15508,44,country,country,1.210532202
4,40.05349388,Roy Orbison,Crying,1961,10605581,8655,303004,71,"country, rock","country, rock",1.209088283
24,12.27610461,Frankie Valli and The Four Seasons,Walk Like A Man,1963,9797062,4256,157449,67,rock,rock,1.20625355
98,4.850547815,The American Breed,"Bend Me, Shape Me",1968,849143,945,244,28,pop rock,pop rock,1.19216682
32,10.15315495,Barry Mann,"Who Put The Bomp (In The Bomp, Bomp, Bomp)",1961,664163,737,1246,35,"doo-wop, bubblegum pop (sugaryline version)","doo-wop, bubblegum pop (sugaryline version)",1.182916651
40,8.762749681,The Beatles,Twist and Shout,1964,55584330,14112,5042014,89,rock and roll,rock and roll,1.170174557
22,13.00172664,Terry Stafford,Suspicion,1964,747126,603,1081,31,rockabilly,rockabilly,1.165646072
16,16.04282372,Claude King,Wolverton Mountain,1962,453022,1100,1549,27,country,country,1.147053659
79,5.59198657,Larry Finnegan,Dear One,1962,305231,186,838,20,pop,pop,1.142409938
38,9.064478563,Ohio Express,"Yummy, Yummy, Yummy",1968,1485174,2190,3765,34,bubblegum pop,bubblegum pop,1.142207005
42,8.485070759,Larry Verne,Mr. Custer,1960,154240,163,174,14,novelty,novelty,1.097349218
61,6.632577127,Donovan,Hurdy Gurdy Man,1968,11057785,6108,128894,62,"psychedelic rock, folk rock, psychedelic folk","psychedelic rock, folk rock, psychedelic folk",1.095807755
