Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Followers,Popularity,Prediction,Error,Grammy,GenreRaw,Genre,beat,country,easyListening,folkORfunk,instrumental,jazz,pop,popRock,r&b,rock,rockabilly,sunshinePop,traditionalPop
94.0,-0.980971622,Sonny,Laugh at Me,0.16770436,11.38547838,-0.926230283,0.267644902,0.5359232110000001,13.60555638,-2.2200779980000003,0.0,,pop,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.254924568,Jay and The Americans,She Cried,-0.8744584479999999,12.48669611,-0.661873743,-0.154272819,0.378107297,14.72555402,-2.238857907,0.0,,rock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,3.935457318,Bobby Lewis,Tossin' And Turnin',-1.221846051,12.13169387,-2.0830483109999998,-1.4320164309999999,-1.305262455,14.38816812,-2.25647425,0.0,r&b,r&b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
96.0,-1.003754117,Andy Williams,A Fool Never Learns,-0.17968324300000002,11.83001099,0.675133689,0.5372590070000001,1.272397478,14.08733685,-2.257325861,0.0,easy listening,easyListening,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1.6852342830000002,Stevie Wonder,Fingertips,-0.527070846,14.99597591,0.888658293,1.675538705,1.588029306,17.26977404,-2.2737981240000003,0.0,"pop, pop rock",r&b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
95.0,-0.992422824,Elvis Presley,Bossa Nova Baby,-0.527070846,13.81887091,2.191194129,1.657099945,1.693239916,16.11028538,-2.291414479,0.0,"rock and roll, bossa nova",rock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
87.0,-0.897229305,Bobby Rydell,Good Time Baby,-1.221846051,10.97428319,-0.577121187,-0.278805992,-0.35836697,13.27688255,-2.3025993590000002,0.0,rock and roll,rock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
86.0,-0.8847190090000001,Dion,Donna the Prima Donna,-0.527070846,13.492507999999999,0.48064366299999994,1.421956386,1.482818697,15.80234895,-2.3098409540000002,0.0,,rock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
54.0,-0.381136156,Bobby Freeman,C'mon and Swim,-0.17968324300000002,9.595670797999999,-1.1579513559999999,-1.151701735,-0.831814712,11.9518889,-2.356218106,0.0,"pop, teen tragedy, rock and roll",pop,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,-0.083104993,Clyde McPhatter,Lover Please,-0.8744584479999999,12.04139256,-0.14195138300000001,-0.498969892,0.220291383,14.41896299,-2.37757043,1.0,,r&b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
71.0,-0.677310225,Brenda Lee,That's All You Gotta Do,-1.569233654,12.88677268,0.249923505,0.34046055299999994,1.114581563,15.27509806,-2.388325378,0.0,rockabilly,rock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
