,Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Year_awards,Awards,Artist_award,awardscore
634,99,4.818155049,Petula Clark,Don't Sleep In The Subway,1967,774829,4478,,,,
605,87,5.247075258,The Searchers,Don't Throw Your Love Away,1964,552635,3642,,,,
60,28,11.08857401,Marty Robbins,Don't Worry,1961,321791,1930,,,,
830,39,8.910403258,The Buckinghams,Don't You Care,1967,279791,2064,,,,
139,60,6.705330284,The Four Preps,Down By The Station,1960,23715,951,,,,
683,52,7.369496097,Billy Joe Royal,Down in the Boondocks,1965,797177,533,,,,
67,65,6.360293906,Roy Orbison,Dream Baby (How Long Must I Dream),1962,1882078,8654,,,,
171,86,5.287264321,Johnny Burnette,Dreamin',1960,9887,2915,,,,
294,13,18.39913422,Gene Chandler,Duke Of Earl,1962,1890074,1289,,,,
15,91,5.093692001,Brenda Lee,Dum Dum,1961,320128,2547,,,,
436,39,8.910403258,The Essex,Easier Said Than Done,1963,11101,520,,,,
972,33,9.949031357,Three Dog Night,Easy To Be Hard,1969,1174006,2291,,,,
488,55,7.101672245,The Beatles,Eight Days a Week,1965,22286205,14112,,,,
694,80,5.545754095,The Turtles,Elenore,1968,11675269,2031,,,,
771,50,7.562750921,Bob Lind,Elusive Butterfly,1966,560837,676,,,,
665,29,10.83471074,Barry McGuire,Eve of Destruction,1965,7190164,1344,,,,
886,90,5.130975533,Robert Knight,Everlasting Love,1967,294080,389,,,,
302,38,9.064478563,Tommy Roe,Everybody,1963,21660,711,,,,
18,73,5.891242669,Brenda Lee,Everybody Loves Me But You,1962,205080,2547,,,,
502,6,30.6492728,Dean Martin,Everybody Loves Somebody,1964,9620202,4570,,,,
43,11,20.54380234,Connie Francis,Everybody's Somebody's Fool,1960,2306079,4607,,,,
910,5,34.56844127,Sly and The Family Stone,Everyday People,1969,49029109,4729,,,,
128,17,15.41358678,Ferrante and Teicher,Exodus,1961,338866,1231,,,,
833,18,14.84294734,The Soul Survivors,Expressway To Your Heart,1967,349967,1037,,,,
564,43,8.35431448,Gerry and the Pacemakers,Ferry Cross the Mersey,1965,3617809,954,,,,
123,49,7.664266318,Hank Ballard and The Midnighters,Finger Poppin' Time,1960,354730,825,,,,
395,8,25.34898699,Stevie Wonder,Fingertips,1963,3255889,4980,,,,
930,39,8.910403258,The Crazy World Of Arthur Brown,Fire,1968,2590197,1366,,,,
801,88,5.207645782,The Vogues,Five O'clock World,1966,667476,1079,,,,
205,57,6.936215781,The Shirelles,Foolish Little Girl,1963,404775,2186,,,,
169,61,6.632577127,Ricky Nelson,Fools Rush In,1963,528037,4885,,,,
112,69,6.114481004,Steve Lawrence,Footsteps,1960,152385,1304,,,,
841,27,11.35794904,Buffalo Springfield,For What It's Worth,1967,92808661,2208,,,,
170,65,6.360293906,Ricky Nelson,For You,1964,91338,4885,,,,
141,61,6.632577127,The Little Dippers,Forever,1960,40043,193,,,,
871,66,6.296526022,The Easybeats,Friday On My Mind,1967,6038048,4259,,,,
465,74,5.838577711,Ned Miller,From a Jack to a King,1963,133653,400,,,,
798,73,5.891242669,Wilson Pickett,Funky Broadway,1967,1193242,3001,,,,
552,39,8.910403258,Ronny and the Daytonas,G.T.O.,1964,261325,679,,,,
995,59,6.780124557,Glen Campbell,Galveston,1969,3354111,3632,,,,
669,34,9.754924552,Wayne Fontana and The Mindbenders,Game of Love,1965,1630980,521,,,,
259,62,6.561777272,Carla Thomas,Gee Whiz (Look At His Eyes),1961,833523,1161,,,,
655,57,6.936215781,The Seekers,Georgy Girl,1967,3269441,3634,,,,
981,25,11.94977132,The Beatles with Billy Preston,Get Back,1969,27161082,3613,,,,
849,34,9.754924552,The Esquires,Get On Up,1967,373440,388,,,,
975,16,16.04282372,The Youngbloods,Get Together,1969,4951529,1084,,,,
1014,89,5.168953147,Crazy Elephant,Gimme Gimme Good Lovin',1969,134693,271,,,,
840,26,11.64441273,Brenton Wood,Gimme Little Sign,1967,3623924,1103,,,,
873,68,6.173680038,The Spencer Davis Group,Gimme Some Lovin',1967,20812662,1069,,,,
937,45,8.107365283,The O'Kaysions,Girl Watcher,1968,164916,418,,,,
789,86,5.287264321,Neil Diamond,"Girl, You'll Be A Woman Soon",1967,6127648,5853,,,,
346,61,6.632577127,Ray Stevens,Gitarzan,1969,115612,2640,,,,
794,80,5.545754095,The Shadows Of Knight,Gloria,1966,880067,1856,,,,
114,91,5.093692001,Steve Lawrence,Go Away Little Girl,1963,208416,1304,,,,
102,33,9.949031357,Jimmy Clanton,Go Jimmy Go,1960,37469,565,,,,
681,50,7.562750921,The Moody Blues,Go Now,1965,2173609,8129,,,,
253,74,5.838577711,The Lettermen,Goin' Out Of My Head / Can't Take My Eyes Off You,1968,399488,1932,,,,
977,29,10.83471074,The Friends Of Distinction,Going In Circles,1969,181315,513,,,,
682,51,7.4645509,Shirley Bassey,Goldfinger,1965,7846673,4407,,,,
731,17,15.41358678,The Young Rascals,Good Lovin',1966,4783568,2093,,,,
28,20,13.84586851,Elvis Presley,Good Luck Charm,1962,5263250,19509,,,,
980,43,8.35431448,Oliver,Good Morning Starshine,1969,406091,1579,,,,
54,87,5.247075258,Bobby Rydell,Good Time Baby,1961,58354,1069,,,,
36,31,10.36815025,Jimmy Jones,Good Timin',1960,616177,461,,,,
385,33,9.949031357,The Beach Boys,Good Vibrations,1966,80929159,15103,,,,
282,90,5.130975533,Dee Dee Sharp,Gravy (For My Mashed Potatoes),1962,251344,557,,,,
976,17,15.41358678,The Friends Of Distinction,Grazin' In The Grass,1969,1278342,513,,,,
908,18,14.84294734,Hugh Masekela,Grazing In The Grass,1968,1112086,1428,,,,
333,53,7.277428145,Booker T. and The M.G.'s,Green Onions,1962,41562698,3484,,,,
965,31,10.36815025,Creedence Clearwater Revival,Green River,1969,19147069,4772,,,,
938,47,7.877989793,The Lemon Pipers,Green Tambourine,1968,2827207,1228,,,,
661,98,4.850547815,Tom Jones,"Green, Green Grass Of Home",1967,6995926,4556,,,,
56,13,18.39913422,Brothers Four,Greenfields,1960,880380,693,,,,
334,72,5.945119004,Booker T. and The M.G.'s,Groovin',1967,387938,3484,,,,
732,9,23.45308318,The Young Rascals,Groovin',1967,4783568,2093,,,,
795,83,5.412631479,The Sandpipers,Guantanamera,1966,650585,1407,,,,
868,13,18.39913422,The Cowsills,Hair,1969,259696,2784,,,,
336,90,5.130975533,Booker T. and The M.G.'s,Hang 'Em High,1969,277978,3484,,,,
736,19,14.32262507,Tommy James and The Shondells,Hanky Panky,1966,853252,1387,,,,
692,8,25.34898699,The Turtles,Happy Together,1967,76786713,2031,,,,
163,84,5.370017132,Paul Evans,Happy-Go-Lucky Me,1960,315970,336,,,,
124,50,7.562750921,Platters,Harbor Lights,1960,787854,2324,,,,
192,68,6.173680038,Del Shannon,Hats Off To Larry,1961,147026,2195,,,,
610,93,5.021127552,Jumpin' Gene Simmons,Haunted House,1964,35112,321,,,,
537,31,10.36815025,The Honeycombs,Have I the Right?,1964,1006483,2399,,,,
93,52,7.369496097,Sam Cooke,Having A Party,1962,3377142,2895,,,,
82,58,6.857053284,The Ventures,Hawaii Five-O,1969,2718842,2678,,,,
679,69,6.114481004,The Yardbirds,Heart Full of Soul,1965,14356985,5119,,,,
179,93,5.021127552,Guy Mitchell,Heartaches By The Number,1960,243434,604,,,,
427,32,10.15315495,Martha and The Vandellas,Heat Wave,1963,19972499,2807,,,,
1,2,63.2878297,Jim Reeves,He'll Have To Go,1960,4377343,4240,,,,
126,52,7.369496097,Jeanne Black,He'll Have To Stay,1960,45318,234,,,,
166,49,7.664266318,Ricky Nelson,Hello Mary Lou,1961,5626492,4885,,,,
439,44,8.228510611,Barbara Lewis,Hello Stranger,1963,2429382,703,,,,
237,45,8.107365283,Faron Young,Hello Walls,1961,1490230,1732,,,,
816,14,17.52086311,The Doors,"Hello, I Love You",1968,12518264,8577,,,,
383,11,20.54380234,The Beach Boys,"Help Me, Rhonda",1965,5635326,15103,,,,
486,7,27.68441135,The Beatles,Help!,1965,37599801,14112,,,,
361,80,5.545754095,James Darren,Her Royal Majesty,1962,23916,1299,,,,
960,92,5.057082445,Shorty Long,Here Comes The Judge,1968,63779,638,,,,
392,5,34.56844127,The Chiffons,He's So Fine,1963,4300451,993,,,,
495,1,100,The Beatles,Hey Jude,1968,71297498,14112,,,,
559,43,8.35431448,The Rip Chords,Hey Little Cobra,1964,125753,2071,,,,
394,7,27.68441135,Paul and Paula,Hey Paula,1963,2224593,506,,,,
293,11,20.54380234,Bruce Channel,Hey! Baby,1962,9727465,589,,,,
967,99,4.818155049,Jerry Butler,"Hey, Western Union Man",1968,111848,982,,,,
608,88,5.207645782,Tommy Tucker,Hi-Heel Sneakers,1964,413656,314,,,,
928,37,9.225435188,Johnny Nash,Hold Me Tight,1968,827228,1090,,,,
643,14,17.52086311,Mel Carter,"Hold Me, Thrill Me, Kiss Me",1965,1339521,265,,,,
700,85,5.328236693,Joe Tex,Hold What You've Got,1965,167060,2114,,,,
774,56,7.017717833,Simon and Garfunkel,Homeward Bound,1966,13052761,5561,,,,
577,3,48.42838339,Bobby Goldsboro,Honey,1968,3169958,618,,,,
624,4,40.05349388,The Rolling Stones,Honky Tonk Women,1969,31163770,13638,,,,
769,99,4.818155049,B. J. Thomas,Hooked On A Feeling,1969,2960882,1074,,,,
303,43,8.35431448,Tommy Roe,Hooray for Hazel,1966,73278,711,,,,
911,7,27.68441135,Sly and The Family Stone,Hot Fun In The Summertime,1969,3603866,4729,,,,
734,63,6.49284802,The Young Rascals,How Can I Be Sure,1967,341008,2093,,,,
563,89,5.168953147,Gerry and the Pacemakers,How Do You Do It?,1964,216444,954,,,,
460,100,4.786300923,Marvin Gaye,How Sweet It Is (To Be Loved by You),1965,8752988,7086,,,,
747,97,4.883493965,Paul Revere and The Raiders,Hungry,1966,257617,4169,,,,
751,61,6.632577127,Donovan,Hurdy Gurdy Man,1968,11057785,6108,,,,
245,48,7.769280177,Timi Yuro,Hurt,1961,1033560,1329,,,,
254,30,10.59497587,The Lettermen,Hurt So Bad,1969,140938,1932,,,,
671,40,8.762749681,Patti Page,"Hush, Hush, Sweet Charlotte",1965,116241,3693,,,,
772,51,7.4645509,Simon and Garfunkel,I Am a Rock,1966,14516548,5561,,,,
889,96,4.917008807,The Who,I Can See For Miles,1967,8118783,11121,,,,
587,3,48.42838339,The Temptations,I Can't Get Next To You,1969,4868501,9519,,,,
614,2,63.2878297,Four Tops,I Can't Help Myself (Sugar Pie Honey Bunch),1965,67571740,3598,,,,
390,43,8.35431448,Skeeter Davis,I Can't Stay Mad at You,1963,283035,1796,,,,
376,91,5.093692001,"Peter, Paul and Mary",I Dig Rock And Roll Music,1967,551673,1386,,,,
805,95,4.951108236,Bobby Fuller Four,I Fought The Law,1966,5019487,1299,,,,
382,5,34.56844127,The Beach Boys,I Get Around,1964,36498083,15103,,,,
533,75,5.787081068,Peter and Gordon,I Go to Pieces,1965,806850,951,,,,
755,37,9.225435188,The Happenings,I Got Rhythm,1967,110643,550,,,,
881,58,6.857053284,James Brown and The Famous Flames,I Got The Feelin',1968,3337941,3416,,,,
645,16,16.04282372,Sonny and Cher,I Got You Babe,1965,21819443,2377,,,,
888,93,5.021127552,The Electric Prunes,I Had Too Much To Dream Last Night,1967,1709322,3498,,,,
463,88,5.207645782,Marvin Gaye,I Heard It Through The Grapevine,1969,73644587,7086,,,,
326,42,8.485070759,Barbara George,I Know (You Don't Love Me No More),1962,84117,338,,,,
631,36,9.393779234,Petula Clark,I Know a Place,1965,659236,4478,,,,
227,34,9.754924552,Chris Kenner,I Like It Like That,1961,739901,391,,,,
247,52,7.369496097,The Paris Sisters,I Love How You Love Me,1961,368245,315,,,,
120,65,6.360293906,Marv Johnson,I Love The Way You Love,1960,27503,1131,,,,
416,21,13.40711287,Al Martino,I Love You Because,1963,107611,1555,,,,
418,72,5.945119004,Al Martino,I Love You More and More Every Day,1964,31323,1555,,,,
824,75,5.787081068,Aretha Franklin,I Never Loved A Man (The Way I Love You),1967,8221365,4631,,,,
485,95,4.951108236,The Beatles,I Saw Her Standing There,1964,13477850,14112,,,,
826,93,5.021127552,Aretha Franklin,I Say A Little Prayer,1968,73432380,4631,,,,
760,88,5.207645782,Sandy Posey,I Take It Back,1967,89016,936,,,,
835,68,6.173680038,Sam and Dave,I Thank You,1968,751080,4812,,,,
737,12,19.39725958,Tommy James and The Shondells,I Think We're Alone Now,1967,4215058,1387,,,,
456,64,6.425711417,Tony Bennett,I Wanna Be Around,1963,657059,6608,,,,
596,81,5.500471104,The Jelly Beans,I Wanna Love Him So Bad,1964,47284,150,,,,
708,92,5.057082445,The Strangeloves,I Want Candy,1965,611950,1062,,,,
13,43,8.35431448,Brenda Lee,I Want To Be Wanted,1960,390100,2547,,,,
477,1,100,The Beatles,I Want to Hold Your Hand,1964,48975471,14112,,,,
397,14,17.52086311,Stevie Wonder,I Was Made To Love Her,1967,11938162,4980,,,,
421,26,11.64441273,Little Peggy March,I Will Follow Him,1963,2217411,941,,,,
586,22,13.00172664,The Temptations,I Wish It Would Rain,1968,7228337,9519,,,,
377,99,4.818155049,Ronnie and The Hi-lites,I Wish That We Were Married,1962,11986,265,,,,
950,72,5.945119004,Tommy Boyce and Bobby Hart,I Wonder What She's Doing Tonight,1968,185132,1543,,,,
877,48,7.769280177,The Grass Roots,I'd Wait A Million Years,1969,793077,4194,,,,
956,85,5.328236693,Smokey Robinson and The Miracles,If You Can Want,1968,293934,5609,,,,
366,35,9.570069478,Jimmy Soul,If You Wanna Be HappyIf You Wanna Be Happy,1963,2485964,338,,,,
459,58,6.857053284,Marvin Gaye,I'll Be Doggone,1965,1581041,7086,,,,
55,93,5.021127552,Bobby Rydell,I'll Never Dance Again,1962,76708,1069,,,,
654,23,12.62582101,The Seekers,I'll Never Find Another You,1965,2598494,3634,,,,
720,5,34.56844127,The Monkees,I'm A Believer,1967,62659630,18620,,,,
712,97,4.883493965,"Dino, Desi and Billy",I'm a Fool,1965,23134,915,,,,
369,94,4.985808764,The Ikettes,I'm Blue (The Gong-Gong Song),1962,430899,1799,,,,
276,92,5.057082445,Eddie Hodges,I'm Gonna Knock On Your Door,1961,568081,688,,,,
1013,87,5.247075258,Diana Ross and The Supremes and The Temptations,I'm Gonna Make You Love Me,1969,3870569,1236,,,,
452,60,6.705330284,Lou Christie,I'm Gonna Make You Mine,1969,285913,1818,,,,
638,46,7.990608098,Herman's Hermits,"I'm Henry the Eighth, I Am",1965,258929,2048,,,,
412,18,14.84294734,Dale and Grace,I'm Leaving It Up To You,1963,129104,862,,,,
768,47,7.877989793,B. J. Thomas,I'm So Lonesome I Could Cry,1966,65826,1074,,,,
403,80,5.545754095,The Impressions,I'm So Proud,1964,1969494,2033,,,,
11,6,30.6492728,Brenda Lee,I'm Sorry,1960,3366175,2547,,,,
675,42,8.485070759,Freddie and the Dreamers,I'm Telling You Now,1965,576239,1498,,,,
767,46,7.990608098,James and Bobby Purify,I'm Your Puppet,1966,3820190,566,,,,
142,62,6.561777272,The Safaris,Image Of A Girl,1960,83982,125,,,,
69,59,6.780124557,Roy Orbison,In Dreams,1963,11402194,8654,,,,
116,94,4.985808764,Anita Bryant,In My Little Corner Of The World,1960,15789,2722,,,,
982,26,11.64441273,Zager and Evans,In The Year 2525,1969,5177087,704,,,,
838,23,12.62582101,Strawberry Alarm Clock,Incense And Peppermints,1967,3209861,2877,,,,
925,67,6.234342105,1910 Fruitgum Company,Indian Giver,1969,100205,578,,,,
867,71,6.000251993,The Cowsills,Indian Lake,1968,288104,2784,,,,
691,73,5.891242669,The Turtles,It Ain't Me Babe,1965,1644953,2031,,,,
349,27,11.35794904,Gene Pitney,It Hurts to Be in Love,1964,167640,2010,,,,
174,18,14.84294734,Johnny Tillotson,It Keeps Right On a-Hurtin',1962,245127,1278,,,,
839,25,11.94977132,Vicki Carr,It Must Be Him,1967,631075,1054,,,,
401,10,21.87761624,The Impressions,It's All Right,1963,2590697,2033,,,,
994,55,7.101672245,Cass Elliot,It's Getting Better,1969,1356030,3679,,,,
263,65,6.360293906,Ike and Tina Turner,It's Gonna Work Out Fine,1961,246104,3574,,,,
407,29,10.83471074,Lesley Gore,It's My Party,1963,6895751,1455,,,,
660,64,6.425711417,Tom Jones,It's Not Unusual,1965,37632492,4556,,,,
22,7,27.68441135,Elvis Presley,It's Now Or Never,1960,11766868,19509,,,,
71,73,5.891242669,Roy Orbison,It's Over,1964,1783252,8654,,,,
615,83,5.412631479,Four Tops,It's the Same Old Song,1965,6423287,3598,,,,
75,66,6.296526022,Paul Anka,It's Time To Cry,1960,109090,2526,,,,
62,19,14.32262507,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,1960,3452011,1193,,,,
733,54,7.188199443,The Young Rascals,I've Been Lonely Too Long,1967,173991,2093,,,,
595,51,7.4645509,Sammy Davis Jr.,I've Gotta Be Me,1969,647269,4058,,,,
944,59,6.780124557,The Bee Gees,I've Gotta Get A Message To You,1968,4066803,10349,,,,
230,74,5.838577711,Linda Scott,I've Told Every Little Star,1961,38588,577,,,,
979,23,12.62582101,Oliver,Jean,1969,121284,1579,,,,
431,36,9.393779234,Martha and The Vandellas,Jimmy Mack,1967,5617771,2807,,,,
290,6,30.6492728,Shelley Fabares,Johnny Angel,1962,472535,741,,,,
339,56,7.017717833,Joanie Sommers,Johnny Get Angry,1962,186619,1067,,,,
914,25,11.94977132,John Fred and His Playboy Band,Judy In Disguise (With Glasses),1968,1079207,448,,,,
408,83,5.412631479,Lesley Gore,Judy's Turn to Cry,1963,515670,1455,,,,
623,50,7.562750921,The Rolling Stones,Jumpin' Jack Flash,1968,24154098,13638,,,,
685,56,7.017717833,The Beau Brummels,Just a Little,1965,362180,2880,,,,
746,67,6.234342105,Paul Revere and The Raiders,Just Like Me,1966,327267,4169,,,,
628,44,8.228510611,The Righteous Brothers,Just Once in My Life,1965,541580,2690,,,,
472,81,5.500471104,Doris Troy,Just One Look,1963,2024598,542,,,,
402,56,7.017717833,The Impressions,Keep On Pushing,1964,1556196,2033,,,,
194,99,4.818155049,Del Shannon,Keep Searchin' (We'll Follow the Sun),1965,865291,2195,,,,
745,25,11.94977132,Paul Revere and The Raiders,Kicks,1966,1572579,4169,,,,
143,63,6.49284802,Brook Benton,Kiddio,1960,213883,708,,,,
829,16,16.04282372,The Buckinghams,Kind Of A Drag,1967,612766,2064,,,,
600,12,19.39725958,Roger Miller,King of the Road,1965,7828198,3536,,,,
535,55,7.101672245,Peter and Gordon,Lady Godiva,1966,246814,951,,,,
161,82,5.456106733,Lloyd Price,Lady Luck,1960,447560,1034,,,,
496,60,6.705330284,The Beatles,Lady Madonna,1968,13710931,14112,,,,
904,34,9.754924552,Gary Puckett and The Union Gap,Lady Willpower,1968,1062719,1275,,,,
913,23,12.62582101,The Delfonics,La-La Means I Love You,1968,7088859,1723,,,,
796,84,5.370017132,Wilson Pickett,"Land Of 1,000 Dances",1966,25042907,3001,,,,
505,9,23.45308318,J. Frank Wilson and the Cavaliers,Last Kiss,1964,440810,376,,,,
206,15,16.74093727,The Mar-Keys,Last Night,1961,1118216,1102,,,,
719,6,30.6492728,The Monkees,Last Train to Clarksville,1966,6568548,18620,,,,
709,94,4.985808764,Sonny,Laugh at Me,1965,88034,741,,,,
686,87,5.247075258,The Beau Brummels,"Laugh, Laugh",1965,272624,2880,,,,
991,96,4.917008807,The Guess Who,Laughing,1969,994472,4136,,,,
359,71,6.000251993,Dickey Lee,Laurie (Strange Things Happen),1965,18958,457,,,,
674,52,7.369496097,Bob Dylan,Lay Lady Lay,1969,28002786,16836,,,,
568,68,6.173680038,The Shangri-Las,Leader of the Pack,1964,7863614,3675,,,,
3,30,10.59497587,The Everly Brothers,Let It Be Me,1960,697716,4114,,,,
539,34,9.754924552,Betty Everett and Jerry Butler,Let It Be Me,1964,14221,1249,,,,
874,69,6.114481004,The Hombres,Let It Out (Let It All Hang Out),1967,487070,567,,,,
749,100,4.786300923,Paul Revere and The Raiders,Let Me,1969,4348,4169,,,,
292,8,25.34898699,The Sensations,Let Me In,1962,47535,233,,,,
150,82,5.456106733,Fats Domino,Let The Four Winds Blow,1961,346731,3326,,,,
125,51,7.4645509,Billy Bland,Let The Little Girl Dance,1960,11473647,265,,,,
351,68,6.173680038,Chris Montez,Let's Dance,1962,2039928,1050,,,,
875,70,6.056689273,The Grass Roots,Let's Live For Today,1967,2649781,4194,,,,
178,92,5.057082445,Bob Luman,Let's Think About Livin',1960,330483,651,,,,
451,23,12.62582101,Lou Christie,Lightnin' Strikes,1966,845703,1818,,,,
672,41,8.621099442,Bob Dylan,Like a Rolling Stone,1965,86632146,16836,,,,
613,31,10.36815025,Sam the Sham and the Pharaohs,Li'l Red Riding Hood,1966,1369674,1129,,,,
820,11,20.54380234,The Music Explosion,Little Bit O' Soul,1967,568383,552,,,,
53,96,4.917008807,Bobby Rydell,Little Bitty Girl,1960,98402,1069,,,,
523,18,14.84294734,Billy J. Kramer and The Dakotas,Little Children,1964,480702,1328,,,,
241,86,5.287264321,Dion,Little Diane,1962,191936,3245,,,,
574,61,6.632577127,The Hondells,Little Honda,1964,97458,830,,,,
887,92,5.057082445,Bill Cosby,Little Ole Man (Uptight-Everything's Alright),1967,16187,5767,,,,
94,67,6.234342105,Sam Cooke,Little Red Rooster,1963,1246121,2895,,,,
24,39,8.910403258,Elvis Presley,Little Sister,1961,3356388,19509,,,,
193,100,4.786300923,Del Shannon,Little Town Flirt,1963,367176,2195,,,,
988,41,8.621099442,Bobby Sherman,Little Woman,1969,28884,2535,,,,
110,38,9.064478563,Conway Twitty,Lonely Blue Boy,1960,756676,3103,,,,
183,99,4.818155049,Charlie Rich,Lonely Weekends,1960,306801,2214,,,,
19,62,6.561777272,Brenda Lee,Losing You,1963,306511,2547,,,,
603,99,4.818155049,The Kingsmen,Louie Louie,1964,28476446,2634,,,,
989,42,8.485070759,Mercy,Love (Can Make You Happy),1969,192564,1682,,,,
516,27,11.35794904,The Supremes,Love Child,1968,3357859,5042,,,,
792,78,5.63920084,Lou Rawls,Love Is A Hurtin' Thing,1966,255538,2941,,,,
931,40,8.762749681,Troggs,Love Is All Around,1968,1806273,613,,,,
890,2,63.2878297,Paul Mauriat,Love Is Blue,1968,2160381,1189,,,,
513,28,11.08857401,The Supremes,Love Is Here And Now You're Gone,1967,1402733,5042,,,,
318,34,9.754924552,Ketty Lester,Love Letters,1962,156761,768,,,,
781,68,6.173680038,Deon Jackson,Love Makes The World Go Round,1966,381062,249,,,,
480,14,17.52086311,The Beatles,Love Me Do,1964,44061168,14112,,,,
664,94,4.985808764,Tom Jones,Love Me Tonight,1969,834426,4556,,,,
78,76,5.736711756,Paul Anka,Love Me Warm And Tender,1962,831928,2526,,,,
525,19,14.32262507,The Ray Charles Singers,Love Me with All Your Heart (Cuando Calienta El Sol),1964,11797,1894,,,,
607,70,6.056689273,The Searchers,Love Potion No. 9,1965,1063350,3642,,,,
122,48,7.769280177,Ron Holden,Love You So,1960,27102,391,,,,
240,67,6.234342105,Dion,Lovers Who Wander,1962,1642078,3245,,,,
921,62,6.561777272,Steppenwolf,Magic Carpet Ride,1968,42602063,2216,,,,
45,68,6.173680038,Connie Francis,Mama,1960,279627,4607,,,,
467,77,5.687430745,Jan Bradley,Mama Didn't Lie,1963,237102,291,,,,
202,81,5.500471104,The Shirelles,Mama Said,1961,18984141,2186,,,,
437,41,8.621099442,Los Indios Tabajaras,Maria Elena,1963,1207317,377,,,,
281,3,48.42838339,Dee Dee Sharp,Mashed Potato Time,1962,771095,557,,,,
68,46,7.990608098,Roy Orbison,Mean Woman Blues,1963,709991,8654,,,,
553,41,8.621099442,Johnny Rivers,Memphis,1964,743377,1516,,,,
453,58,6.857053284,Lonnie Mack,"Memphis, Tennessee",1963,51680,8225,,,,
544,77,5.687430745,Dionne Warwick,Message To Michael,1966,325409,7251,,,,
250,55,7.101672245,Bob Moore,Mexico,1961,44613,611,,,,
189,3,48.42838339,The Highwaymen,Michael,1961,345821,1027,,,,
214,85,5.328236693,The Miracles,Mickey's Monkey,1963,218185,5609,,,,
876,19,14.32262507,The Grass Roots,Midnight Confessions,1968,748738,4194,,,,
300,21,13.40711287,Kenny Ball,Midnight In Moscow,1962,452268,1531,,,,
738,97,4.883493965,Tommy James and The Shondells,Mirage,1967,227312,1387,,,,
148,90,5.130975533,Ray Peterson,Missing You,1961,36663,527,,,,
146,64,6.425711417,Donnie Brooks,Mission Bell,1960,80369,607,,,,
420,25,11.94977132,Inez and Charlie Foxx,Mockingbird,1963,222797,529,,,,
180,97,4.883493965,Barrett Strong,Money,1960,7941207,758,,,,
602,86,5.287264321,The Kingsmen,Money (That's What I Want),1964,446165,2634,,,,
739,13,18.39913422,Tommy James and The Shondells,"Mony, Mony",1968,3641998,1387,,,,
255,59,6.780124557,Pat Boone,Moody River,1961,376361,4138,,,,
454,60,6.705330284,Kai Winding,More,1963,111486,1069,,,,
140,98,4.850547815,The Four Preps,More Money For You And Me,1961,7549,951,,,,
993,50,7.562750921,Spiral Starecase,More Today Than Yesterday,1969,1062626,622,,,,
668,68,6.173680038,James Brown,Mother Popcorn (Part I),1969,1692313,12563,,,,
209,21,13.40711287,Ernie K-Doe,Mother-In-Law,1961,442939,811,,,,
117,42,8.485070759,Larry Verne,Mr. Custer,1960,154240,163,,,,
748,95,4.951108236,Paul Revere and The Raiders,"Mr. Sun, Mr. Moon",1969,100456,4169,,,,
656,25,11.94977132,The Byrds,Mr. Tambourine Man,1965,22318155,13506,,,,
636,19,14.32262507,Herman's Hermits,"Mrs. Brown, You've Got a Lovely Daughter",1965,1534981,2048,,,,
118,44,8.228510611,Fendermen,Mule Skinner Blues,1960,257280,230,,,,
561,46,7.990608098,Millie Small,My Boy Lollipop,1964,5202609,833,,,,
404,12,19.39725958,The Angels,My Boyfriend's Back,1963,1872402,812,,,,
399,32,10.15315495,Stevie Wonder,My Cherie Amour,1969,15409195,4980,,,,
855,46,7.990608098,Ed Ames,My Cup Runneth Over,1967,228773,1411,,,,
582,10,21.87761624,The Temptations,My Girl,1965,150297031,9519,,,,
299,7,27.68441135,Mary Wells,My Guy,1964,35289317,2824,,,,
44,17,15.41358678,Connie Francis,My Heart Has A Mind Of Its Own,1960,365549,4607,,,,
76,77,5.687430745,Paul Anka,My Home Town,1960,289664,2526,,,,
273,84,5.370017132,Matt Monro,My Kind Of Girl,1961,307716,1698,,,,
195,6,30.6492728,The Jive Five,My True Story,1961,549734,807,,,,
1017,97,4.883493965,David Ruffin,My Whole World Ended (The Moment You Left Me),1969,1161397,3665,,,,
512,81,5.500471104,The Supremes,My World Is Empty Without You,1966,3451648,5042,,,,
571,58,6.857053284,Diane Renay,Navy Blue,1964,62333,527,,,,
606,100,4.786300923,The Searchers,Needles and Pins,1964,3843254,3642,,,,
968,100,4.786300923,Jerry Butler,Never Give You Up,1968,1210714,982,,,,
717,20,13.84586851,The Association,Never My Love,1967,1900548,3791,,,,
104,34,9.754924552,Jackie Wilson,Night,1960,81660,4542,,,,
780,66,6.296526022,The T-Bones,No Matter What Shape (Your Stomach Is In),1966,108083,750,,,,
949,67,6.234342105,The Human Beinz,Nobody But Me,1968,3919199,835,,,,
208,33,9.949031357,Sue Thompson,Norman,1962,206139,547,,,,
491,90,5.130975533,The Beatles,Nowhere Man,1966,11017023,14112,,,,
430,68,6.173680038,Martha and The Vandellas,Nowhere to Run,1965,14919498,2807,,,,
175,88,5.207645782,Annette Funicello,O Dio Mio,1960,5450,2449,,,,
799,85,5.328236693,Shades Of Blue,Oh How Happy,1966,98161,2035,,,,
70,4,40.05349388,Roy Orbison,"Oh, Pretty Woman",1964,61232906,8654,,,,
