,Rank,RankPowerlaw,Artist_x,Title,Year_x,SpotifyPlayCount,WikiWordCount,GrammyAwards,Year_y,Awards,Artist_y
176,37,9.225435188,Johnny Tillotson,Without You,1961,146415,1278,,,,
177,18,14.84294734,Johnny Tillotson,It Keeps Right On a-Hurtin',1962,245127,1278,,,,
178,88,5.207645782,Annette Funicello,O Dio Mio,1960,5450,2449,,,,
179,89,5.168953147,Joe Jones,You Talk Too Much,1960,150648,420,,,,
180,90,5.130975533,Johnny and The Hurricanes,Beatnik Fly,1960,6058,708,,,,
181,92,5.057082445,Bob Luman,Let's Think About Livin',1960,330483,651,,,,
182,93,5.021127552,Guy Mitchell,Heartaches By The Number,1960,243434,604,,,,
183,97,4.883493965,Barrett Strong,Money,1960,7941207,758,,,,
184,98,4.850547815,Maurice Williams and the Zodiacs,Stay,1960,17445583,790,,,,
185,99,4.818155049,Charlie Rich,Lonely Weekends,1960,306801,2214,,,,
186,100,4.786300923,Larry Hall,Sandy,1960,13843,326,,,,
187,1,100,Bobby Lewis,Tossin' And Turnin',1961,185664,220,,,,
188,75,5.787081068,Bobby Lewis,One Track Mind,1961,10065,220,,,,
189,2,63.2878297,Patsy Cline,I Fall To Pieces,1961,8098285,8503,,,,
190,78,5.63920084,Patsy Cline,She's Got You,1962,4593182,8503,,,,
191,3,48.42838339,The Highwaymen,Michael,1961,345821,1027,,,,
192,36,9.393779234,The Highwaymen,Cotton Fields,1962,59450,1027,,,,
193,5,34.56844127,Del Shannon,Runaway,1961,14372962,2195,,,,
194,68,6.173680038,Del Shannon,Hats Off To Larry,1961,147026,2195,,,,
195,100,4.786300923,Del Shannon,Little Town Flirt,1963,367176,2195,,,,
196,99,4.818155049,Del Shannon,Keep Searchin' (We'll Follow the Sun),1965,865291,2195,,,,
197,6,30.6492728,The Jive Five,My True Story,1961,549734,807,,,,
198,8,25.34898699,The String-A-Longs,Wheels,1961,254594,352,,,,
199,9,23.45308318,Dee Clark,Raindrops,1961,36195,651,,,,
200,10,21.87761624,Joe Dowell,Wooden Heart,1961,76204,295,,,,
201,11,20.54380234,Lawrence Welk,Calcutta,1961,220024,3370,,,,
202,14,17.52086311,The Shirelles,Dedicated To The One I Love,1961,1401322,2186,,,,
203,16,16.04282372,The Shirelles,Will You Love Me Tomorrow,1961,10966476,2186,,,,
204,81,5.500471104,The Shirelles,Mama Said,1961,18984141,2186,,,,
205,10,21.87761624,The Shirelles,Soldier Boy,1962,623778,2186,,,,
206,44,8.228510611,The Shirelles,Baby It's You,1962,1378449,2186,,,,
207,57,6.936215781,The Shirelles,Foolish Little Girl,1963,404775,2186,,,,
208,15,16.74093727,The Mar-Keys,Last Night,1961,1118216,1102,,,,
209,20,13.84586851,Sue Thompson,Sad Movies (Make Me Cry),1961,414305,547,,,,
210,33,9.949031357,Sue Thompson,Norman,1962,206139,547,,,,
211,21,13.40711287,Ernie K-Doe,Mother-In-Law,1961,442939,811,,,,
212,22,13.00172664,The Dovells,Bristol Stomp,1961,310096,591,,,,
213,31,10.36815025,The Dovells,You Can't Sit Down,1963,70658,591,,,,
214,24,12.27610461,The Miracles,Shop Around,1961,8287327,5609,,,,
215,65,6.360293906,The Miracles,You've Really Got a Hold on Me,1963,3940869,5609,,,,
216,85,5.328236693,The Miracles,Mickey's Monkey,1963,218185,5609,,,,
217,78,5.63920084,The Miracles,The Tracks of My Tears,1965,28463187,5609,,,,
218,93,5.021127552,The Miracles,Ooo Baby Baby,1965,7102863,5609,,,,
219,26,11.64441273,Gene Mcdaniels,A Hundred Pounds Of Clay,1961,213849,909,,,,
220,27,11.35794904,Dick and Dee Dee,The Mountain's High,1961,17863,1038,,,,
221,84,5.370017132,Dick and Dee Dee,Tell Me,1962,12985,1038,,,,
222,29,10.83471074,Floyd Cramer,On The Rebound,1961,660129,964,,,,
223,88,5.207645782,Floyd Cramer,San Antonio Rose,1961,312830,964,,,,
224,31,10.36815025,Gary U.S. Bonds,Quarter To Three,1961,202618,753,,,,
225,54,7.188199443,Gary U.S. Bonds,School Is Out,1961,29725,753,,,,
226,32,10.15315495,Gary U.S. Bonds,Dear Lady Twist,1962,24726,753,,,,
227,88,5.207645782,Gary U.S. Bonds,"Twist, Twist Senora",1962,51794,753,,,,
228,32,10.15315495,Barry Mann,"Who Put The Bomp (In The Bomp, Bomp, Bomp)",1961,664163,737,,,,
229,34,9.754924552,Chris Kenner,I Like It Like That,1961,739901,391,,,,
230,35,9.570069478,Jorgen Ingmann,Apache,1961,148229,524,,,,
231,36,9.393779234,Linda Scott,Don't Bet Money Honey,1961,1728,577,,,,
232,74,5.838577711,Linda Scott,I've Told Every Little Star,1961,38588,577,,,,
233,38,9.064478563,Ferlin Husky,Wings Of A Dove,1961,259282,1059,,,,
234,40,8.762749681,Marcels,Blue Moon,1961,6629781,302,,,,
235,41,8.621099442,Shep and The Limelites,Daddy's Home,1961,45157,511,,,,
237,43,8.35431448,"Clarence ""Frogman"" Henry",(I Don't Know Why) But I Do,1961,1646381,553,,,,
238,44,8.228510611,Kokomo,Asia Minor,1961,38898,751,,,,
239,45,8.107365283,Faron Young,Hello Walls,1961,1490230,1732,,,,
240,46,7.990608098,Dion,Runaround Sue,1961,27540370,3245,,,,
241,12,19.39725958,Dion,The Wanderer,1962,30747630,3245,,,,
242,67,6.234342105,Dion,Lovers Who Wander,1962,1642078,3245,,,,
243,86,5.287264321,Dion,Little Diane,1962,191936,3245,,,,
244,40,8.762749681,Dion,Ruby Baby,1963,541039,3245,,,,
245,86,5.287264321,Dion,Donna the Prima Donna,1963,723972,3245,,,,
246,47,7.877989793,Arthur Lyman,Yellow Bird,1961,261189,1800,,,,
247,48,7.769280177,Timi Yuro,Hurt,1961,1033560,1329,,,,
248,50,7.562750921,The Capris,There's A Moon Out Tonight,1961,977093,562,,,,
249,52,7.369496097,The Paris Sisters,I Love How You Love Me,1961,368245,315,,,,
250,53,7.277428145,Lee Dorsey,Ya Ya,1961,1445791,752,,,,
251,76,5.736711756,Lee Dorsey,Working In The Coal Mine,1966,1841556,752,,,,
252,55,7.101672245,Bob Moore,Mexico,1961,44613,611,,,,
253,56,7.017717833,Ral Donner,You Don't Know What You've Got (Until You Lose It),1961,45016,411,,,,
254,58,6.857053284,The Lettermen,The Way You Look Tonight,1961,265415,1932,,,,
256,30,10.59497587,The Lettermen,Hurt So Bad,1969,140938,1932,,,,
257,59,6.780124557,Pat Boone,Moody River,1961,376361,4138,,,,
258,45,8.107365283,Pat Boone,Speedy Gonzales,1962,1355459,4138,,,,
259,61,6.632577127,Adam Wade,Take Good Care Of Her,1961,16354,531,,,,
260,83,5.412631479,Adam Wade,The Writing On The Wall,1961,4696,531,,,,
261,62,6.561777272,Carla Thomas,Gee Whiz (Look At His Eyes),1961,833523,1161,,,,
262,39,8.910403258,Carla Thomas,B-A-B-Y,1966,9284829,1161,,,,
263,63,6.49284802,Ben E. King,Stand By Me,1961,59842653,1450,,,,
264,64,6.425711417,Ben E. King,Spanish Harlem,1961,4059124,1450,,,,
265,65,6.360293906,Ike and Tina Turner,It's Gonna Work Out Fine,1961,246104,3574,,,,
266,66,6.296526022,The Echoes,Baby Blue,1961,29769,2474,,,,
267,67,6.234342105,Buzz Clifford,Baby Sittin' Boogie,1961,91330,544,,,,
268,69,6.114481004,Little Caesar and The Romans,Those Oldies But Goodies,1961,286453,346,,,,
269,72,5.945119004,Bert Kaempfert,Wonderland By Night,1961,350403,2099,,,,
270,32,10.15315495,Bert Kaempfert,Red Roses for a Blue Lady,1965,293898,2099,,,,
271,73,5.891242669,Tony Orlando,Bless You,1961,73268,2129,,,,
272,76,5.736711756,Rosie and The Originals,Angel Baby,1961,3204938,827,,,,
273,77,5.687430745,Curtis Lee,Pretty Little Angel Eyes,1961,847297,1956,,,,
274,79,5.59198657,Lonnie Donegan,Does Your Chewing Gum Lose Its Flavour (On The Bedpost Overnight),1961,203528,2450,,,,
275,84,5.370017132,Matt Monro,My Kind Of Girl,1961,307716,1698,,,,
277,85,5.328236693,Jimmy Dean,P.T. 109,1962,90285,1804,,,,
278,92,5.057082445,Eddie Hodges,I'm Gonna Knock On Your Door,1961,568081,688,,,,
279,96,4.917008807,Eddie Hodges,"(Girls, Girls, Girls) Made To Love",1962,30625,688,,,,
280,95,4.951108236,Dave Brubeck,Take Five,1961,49478497,3628,,,,
281,97,4.883493965,Don Gibson,Sea Of Heartbreak,1961,1088344,648,,,,
282,1,100,Acker Bilk,Stranger On The Shore,1962,921367,1265,,,,
283,3,48.42838339,Dee Dee Sharp,Mashed Potato Time,1962,771095,557,,,,
284,90,5.130975533,Dee Dee Sharp,Gravy (For My Mashed Potatoes),1962,251344,557,,,,
285,96,4.917008807,Dee Dee Sharp,Do the Bird,1963,54532,557,,,,
286,4,40.05349388,Bobby Vinton,Roses Are Red (My Love),1962,2365412,1732,,,,
287,6,30.6492728,Bobby Vinton,Blue Velvet,1963,8522784,1732,,,,
288,52,7.369496097,Bobby Vinton,Blue on Blue,1963,862958,1732,,,,
289,98,4.850547815,Bobby Vinton,There! I've Said It Again,1964,526233,1732,,,,
290,43,8.35431448,Bobby Vinton,Please Love Me Forever,1967,540828,1732,,,,
291,5,34.56844127,David Rose,The Stripper,1962,313233,1104,,,,
292,6,30.6492728,Shelley Fabares,Johnny Angel,1962,472535,741,,,,
293,7,27.68441135,Little Eva,The Loco-Motion,1962,9076546,924,,,,
294,8,25.34898699,The Sensations,Let Me In,1962,47535,233,,,,
295,11,20.54380234,Bruce Channel,Hey! Baby,1962,9727465,589,,,,
296,13,18.39913422,Gene Chandler,Duke Of Earl,1962,1890074,1289,,,,
297,14,17.52086311,Freddy Cannon,Palisades Park,1962,548294,1289,,,,
298,16,16.04282372,Claude King,Wolverton Mountain,1962,453022,1100,,,,
299,19,14.32262507,Mary Wells,The One Who Really Loves You,1962,1749941,2824,,,,
300,70,6.056689273,Mary Wells,You Beat Me To The Punch,1962,10101881,2824,,,,
301,7,27.68441135,Mary Wells,My Guy,1964,35289317,2824,,,,
302,21,13.40711287,Kenny Ball,Midnight In Moscow,1962,452268,1531,,,,
303,22,13.00172664,Tommy Roe,Sheila,1962,713267,711,,,,
305,43,8.35431448,Tommy Roe,Hooray for Hazel,1966,73278,711,,,,
306,44,8.228510611,Tommy Roe,Sweet Pea,1966,343854,711,,,,
307,6,30.6492728,Tommy Roe,Dizzy,1969,2289433,711,,,,
308,24,12.27610461,The Orlons,The Wah-Watusi,1962,401222,858,,,,
309,47,7.877989793,The Orlons,South Street,1963,36247,858,,,,
310,25,11.94977132,Joey Dee and The Starliters,Peppermint Twist,1962,443963,1048,,,,
311,58,6.857053284,Joey Dee and The Starliters,Shout,1962,205105,1048,,,,
312,27,11.35794904,The Marvelettes,Playboy,1962,8011077,3009,,,,
313,28,11.08857401,Nat King Cole,Ramblin' Rose,1962,532894,4280,,,,
314,70,6.056689273,Nat King Cole,Those Lazy-Hazy-Crazy Days of Summer,1963,555689,4280,,,,
315,87,5.247075258,Nat King Cole,"That Sunday, That Summer",1963,248929,4280,,,,
316,30,10.59497587,Jay and The Americans,She Cried,1962,264791,978,,,,
317,29,10.83471074,Jay and The Americans,Come a Little Bit Closer,1964,14422507,978,,,,
318,24,12.27610461,Jay and The Americans,Cara Mia,1965,801564,978,,,,
319,56,7.017717833,Jay and The Americans,This Magic Moment,1969,1002589,978,,,,
320,34,9.754924552,Ketty Lester,Love Letters,1962,156761,768,,,,
321,35,9.570069478,Claudine Clark,Party Lights,1962,252381,108,,,,
323,38,9.064478563,The Isley Brothers,Twist And Shout,1962,16962564,2160,,,,
325,39,8.910403258,Richard Chamberlain,Theme From Dr. Kildare,1962,26892,1395,,,,
326,40,8.762749681,Ace Cannon,Tuff,1962,33272,341,,,,
327,41,8.621099442,Clyde McPhatter,Lover Please,1962,169633,1688,,,,
328,42,8.485070759,Barbara George,I Know (You Don't Love Me No More),1962,84117,338,,,,
329,46,7.990608098,Burl Ives,A Little Bitty Tear,1962,300810,2470,,,,
331,48,7.769280177,Emilio Pericoli,Al Di La,1962,58051,208,,,,
332,49,7.664266318,Ernie Maresca,Shout! Shout! (Knock Yourself Out),1962,122280,533,,,,
333,50,7.562750921,Don and Juan,What's Your Name,1962,323853,1478,,,,
334,51,7.4645509,The Corsairs,Smoky Places,1962,38068,240,,,,
335,53,7.277428145,Booker T. and The M.G.'s,Green Onions,1962,41562698,3484,,,,
336,72,5.945119004,Booker T. and The M.G.'s,Groovin',1967,387938,3484,,,,
337,63,6.49284802,Booker T. and The M.G.'s,Time Is Tight,1969,1830732,3484,,,,
338,90,5.130975533,Booker T. and The M.G.'s,Hang 'Em High,1969,277978,3484,,,,
339,55,7.101672245,Frankie Valli and The Four Seasons,Sherry,1962,19154727,4256,,,,
340,24,12.27610461,Frankie Valli and The Four Seasons,Walk Like A Man,1963,9797062,4256,,,,
341,56,7.017717833,Joanie Sommers,Johnny Get Angry,1962,186619,1067,,,,
342,59,6.780124557,"Dave ""Baby"" Cortez",Rinky Dink,1962,309260,452,,,,
346,48,7.769280177,Henry Mancini,Days Of Wine and Roses,1963,286425,2486,,,,
347,61,6.632577127,Ray Stevens,Ahab The Arab,1962,194946,2640,,,,
348,61,6.632577127,Ray Stevens,Gitarzan,1969,115612,2640,,,,
349,63,6.49284802,Gene Pitney,(The Man Who Shot) Liberty Valance,1962,782084,2010,,,,
350,97,4.883493965,Gene Pitney,Town Without Pity,1962,1116175,2010,,,,
351,27,11.35794904,Gene Pitney,It Hurts to Be in Love,1964,167640,2010,,,,
352,66,6.296526022,Joe Henderson,Snap Your Fingers,1962,49211,1173,,,,
353,68,6.173680038,Chris Montez,Let's Dance,1962,2039928,1050,,,,
354,94,4.985808764,Chris Montez,The More I See You,1966,1293165,1050,,,,
355,69,6.114481004,Johnny Crawford,Cindy's Birthday,1962,97730,1048,,,,
356,71,6.000251993,Barbara Lynn,You'll Lose A Good Thing,1962,1657027,714,,,,
357,72,5.945119004,The Crystals,Uptown,1962,374691,1856,,,,
358,56,7.017717833,The Crystals,Da Doo Ron Ron,1963,6562159,1856,,,,
359,68,6.173680038,The Crystals,Then He Kissed Me,1963,18884086,1856,,,,
361,71,6.000251993,Dickey Lee,Laurie (Strange Things Happen),1965,18958,457,,,,
362,79,5.59198657,Larry Finnegan,Dear One,1962,305231,186,,,,
363,80,5.545754095,James Darren,Her Royal Majesty,1962,23916,1299,,,,
364,81,5.500471104,Walter Brennan,Old Rivers,1962,64810,1896,,,,
365,83,5.412631479,Billy Vaughn,A Swingin' Safari,1962,390073,715,,,,
366,87,5.247075258,Billy Joe and The Checkmates,Percolator (Twist),1962,21213,818,,,,
367,89,5.168953147,Jimmy Soul,Twistin' Matilda,1962,27425,338,,,,
368,35,9.570069478,Jimmy Soul,If You Wanna Be HappyIf You Wanna Be Happy,1963,2485964,338,,,,
369,91,5.093692001,Jimmy Smith,Walk On The Wild Side,1962,414693,1305,,,,
370,92,5.057082445,King Curtis,Soul Twist,1962,36437,1142,,,,
371,94,4.985808764,The Ikettes,I'm Blue (The Gong-Gong Song),1962,430899,1799,,,,
372,95,4.951108236,The Kingston Trio,Where Have All The Flowers Gone?,1962,639742,6161,,,,
375,16,16.04282372,"Peter, Paul and Mary","Puff, The Magic Dragon",1963,7184102,1386,,,,
378,91,5.093692001,"Peter, Paul and Mary",I Dig Rock And Roll Music,1967,551673,1386,,,,
379,99,4.818155049,Ronnie and The Hi-lites,I Wish That We Were Married,1962,11986,265,,,,
380,100,4.786300923,The Beach Boys,Surfin' Safari,1962,6351035,15103,,,,
381,2,63.2878297,The Beach Boys,Surfin' U.S.A.,1963,40283487,15103,,,,
382,36,9.393779234,The Beach Boys,Surfer Girl,1963,6457598,15103,,,,
383,97,4.883493965,The Beach Boys,Shut Down,1963,1066953,15103,,,,
384,5,34.56844127,The Beach Boys,I Get Around,1964,36498083,15103,,,,
385,11,20.54380234,The Beach Boys,"Help Me, Rhonda",1965,5635326,15103,,,,
386,49,7.664266318,The Beach Boys,California Girls,1965,15339865,15103,,,,
387,33,9.949031357,The Beach Boys,Good Vibrations,1966,80929159,15103,,,,
388,61,6.632577127,The Beach Boys,Sloop John B,1966,17048533,15103,,,,
389,79,5.59198657,The Beach Boys,Barbara Ann,1966,11933298,15103,,,,
390,1,100,Jimmy Gilmer and The Fireballs,Sugar Shack,1963,226227,673,,,,
391,3,48.42838339,Skeeter Davis,The End Of The World,1963,9808917,1796,,,,
392,43,8.35431448,Skeeter Davis,I Can't Stay Mad at You,1963,283035,1796,,,,
393,4,40.05349388,The Cascades,Rhythm Of The Rain,1963,3825570,651,,,,
394,5,34.56844127,The Chiffons,He's So Fine,1963,4300451,993,,,,
395,98,4.850547815,The Chiffons,One Fine Day,1963,12190738,993,,,,
396,7,27.68441135,Paul and Paula,Hey Paula,1963,2224593,506,,,,
397,8,25.34898699,Stevie Wonder,Fingertips,1963,3255889,4980,,,,
398,59,6.780124557,Stevie Wonder,Uptight (Everything's Alright),1966,37974338,4980,,,,
399,14,17.52086311,Stevie Wonder,I Was Made To Love Her,1967,11938162,4980,,,,
400,75,5.787081068,Stevie Wonder,Shoo-Bee-Doo-Be-Doo-Da-Day,1968,1800414,4980,,,,
401,32,10.15315495,Stevie Wonder,My Cherie Amour,1969,15409195,4980,,,,
402,9,23.45308318,The Village Stompers,Washington Square,1963,248436,216,,,,
403,10,21.87761624,The Impressions,It's All Right,1963,2590697,2033,,,,
404,56,7.017717833,The Impressions,Keep On Pushing,1964,1556196,2033,,,,
405,80,5.545754095,The Impressions,I'm So Proud,1964,1969494,2033,,,,
406,12,19.39725958,The Angels,My Boyfriend's Back,1963,1872402,812,,,,
407,13,18.39913422,Kyu Sakamoto,Sukiyaki,1963,3243351,1643,,,,
408,14,17.52086311,Lesley Gore,She's A Fool,1963,212697,1455,,,,
409,29,10.83471074,Lesley Gore,It's My Party,1963,6895751,1455,,,,
410,83,5.412631479,Lesley Gore,Judy's Turn to Cry,1963,515670,1455,,,,
411,36,9.393779234,Lesley Gore,You Don't Own Me,1964,5423583,1455,,,,
412,61,6.632577127,Lesley Gore,California Nights,1967,187214,1455,,,,
413,15,16.74093727,The Tymes,So Much In Love,1963,217721,438,,,,
414,18,14.84294734,Dale and Grace,I'm Leaving It Up To You,1963,129104,862,,,,
416,20,13.84586851,The Surfaris,Wipe Out,1963,1632562,930,,,,
417,63,6.49284802,The Surfaris,Wipe Out,1966,1632562,930,,,,
418,21,13.40711287,Al Martino,I Love You Because,1963,107611,1555,,,,
419,89,5.168953147,Al Martino,"Painted, Tainted Rose",1963,14677,1555,,,,
420,72,5.945119004,Al Martino,I Love You More and More Every Day,1964,31323,1555,,,,
421,22,13.00172664,The Rockin' Rebels,Wild Weekend,1963,34191,778,,,,
422,25,11.94977132,Inez and Charlie Foxx,Mockingbird,1963,222797,529,,,,
423,26,11.64441273,Little Peggy March,I Will Follow Him,1963,2217411,941,,,,
424,27,11.35794904,The Chantays,Pipeline,1963,1118918,674,,,,
425,28,11.08857401,Jan and Dean,Surf City,1963,2529316,4719,,,,
426,28,11.08857401,Jan and Dean,Dead Man's Curve,1964,524590,4719,,,,
427,48,7.769280177,Jan and Dean,The Little Old Lady from Pasadena,1964,573042,4719,,,,
428,30,10.59497587,Eydie Gorme,Blame It On The Bossa Nova,1963,91784,1750,,,,
429,32,10.15315495,Martha and The Vandellas,Heat Wave,1963,19972499,2807,,,,
430,94,4.985808764,Martha and The Vandellas,Come and Get These Memories,1963,447078,2807,,,,
431,17,15.41358678,Martha and The Vandellas,Dancing in the Street,1964,34044681,2807,,,,
432,68,6.173680038,Martha and The Vandellas,Nowhere to Run,1965,14919498,2807,,,,
433,36,9.393779234,Martha and The Vandellas,Jimmy Mack,1967,5617771,2807,,,,
434,33,9.949031357,Randy and The Rainbows,Denise,1963,639192,409,,,,
435,34,9.754924552,The Rooftop Singers,Walk Right In,1963,1048770,428,,,,
438,39,8.910403258,The Essex,Easier Said Than Done,1963,11101,520,,,,
439,41,8.621099442,Los Indios Tabajaras,Maria Elena,1963,1207317,377,,,,
440,42,8.485070759,Ruby And The Romantics,Our Day Will Come,1963,634923,1335,,,,
441,44,8.228510611,Barbara Lewis,Hello Stranger,1963,2429382,703,,,,
442,38,9.064478563,Barbara Lewis,Baby I'm Yours,1965,1960486,703,,,,
443,45,8.107365283,The Ronettes,Be My Baby,1963,56249804,4527,,,,
444,49,7.664266318,Major Lance,The Monkey Time,1963,455979,1416,,,,
445,47,7.877989793,Major Lance,"Um, Um, Um, Um, Um, Um",1964,8939235,1416,,,,
446,50,7.562750921,The Four Seasons,Candy Girl,1963,1216330,4256,,,,
447,24,12.27610461,The Four Seasons,Rag Doll,1964,3712082,4256,,,,
448,25,11.94977132,The Four Seasons,Dawn (Go Away),1964,2451009,4256,,,,
449,74,5.838577711,The Four Seasons,Ronnie,1964,1190523,4256,,,,
450,51,7.4645509,Bill Anderson,Still,1963,138980,1898,,,,
451,53,7.277428145,Garnet Mimms and the Enchanters,Cry Baby,1963,482015,844,,,,
452,54,7.188199443,Lou Christie,Two Faces Have I,1963,17151,1818,,,,
453,23,12.62582101,Lou Christie,Lightnin' Strikes,1966,845703,1818,,,,
454,60,6.705330284,Lou Christie,I'm Gonna Make You Mine,1969,285913,1818,,,,
455,58,6.857053284,Lonnie Mack,"Memphis, Tennessee",1963,51680,8225,,,,
457,63,6.49284802,Bill Pursell,Our Winter Love,1963,85268,360,,,,
458,64,6.425711417,Tony Bennett,I Wanna Be Around,1963,657059,6608,,,,
459,66,6.296526022,The Jaynetts,Sally Go 'Round the Roses,1963,233859,1280,,,,
460,72,5.945119004,Marvin Gaye,Pride and Joy,1963,381571,7086,,,,
461,58,6.857053284,Marvin Gaye,I'll Be Doggone,1965,1581041,7086,,,,
462,100,4.786300923,Marvin Gaye,How Sweet It Is (To Be Loved by You),1965,8752988,7086,,,,
463,14,17.52086311,Marvin Gaye,Too Busy Thinking About My Baby,1969,3314326,7086,,,,
464,72,5.945119004,Marvin Gaye,That's The Way Love Is,1969,1231338,7086,,,,
465,88,5.207645782,Marvin Gaye,I Heard It Through The Grapevine,1969,73644587,7086,,,,
466,73,5.891242669,Rufus Thomas,Walking the Dog,1963,1566133,1954,,,,
467,74,5.838577711,Ned Miller,From a Jack to a King,1963,133653,400,,,,
468,76,5.736711756,Johnny Mathis,What Will My Mary Say,1963,190020,2566,,,,
469,77,5.687430745,Jan Bradley,Mama Didn't Lie,1963,237102,291,,,,
470,79,5.59198657,The Cookies,Don't Say Nothin' Bad (About My Baby),1963,127042,643,,,,
471,80,5.545754095,Johnny Cash,Ring of Fire,1963,84849162,8874,,,,
474,81,5.500471104,Doris Troy,Just One Look,1963,2024598,542,,,,
476,84,5.370017132,Rolf Harris,"Tie Me Kangaroo Down, Sport",1963,699358,5391,,,,
477,93,5.021127552,Sunny and the Sunglows,Talk to Me,1963,58419,334,,,,
478,99,4.818155049,Bobby Bare,500 Miles,1963,2379488,1533,,,,
479,1,100,The Beatles,I Want to Hold Your Hand,1964,48975471,14112,,,,
480,2,63.2878297,The Beatles,She Loves You,1964,28087844,14112,,,,
482,14,17.52086311,The Beatles,Love Me Do,1964,44061168,14112,,,,
483,16,16.04282372,The Beatles,Please Please Me,1964,8599331,14112,,,,
484,40,8.762749681,The Beatles,Twist and Shout,1964,55584330,14112,,,,
485,52,7.369496097,The Beatles,Can't Buy Me Love,1964,26066160,14112,,,,
486,55,7.101672245,The Beatles,Do You Want to Know a Secret,1964,8066285,14112,,,,
487,95,4.951108236,The Beatles,I Saw Her Standing There,1964,13477850,14112,,,,
488,7,27.68441135,The Beatles,Help!,1965,37599801,14112,,,,
489,31,10.36815025,The Beatles,Ticket to Ride,1965,37599801,14112,,,,
490,55,7.101672245,The Beatles,Eight Days a Week,1965,22286205,14112,,,,
491,16,16.04282372,The Beatles,We Can Work It Out,1966,20400983,14112,,,,
492,28,11.08857401,The Beatles,Paperback Writer,1966,16062776,14112,,,,
493,90,5.130975533,The Beatles,Nowhere Man,1966,11017023,14112,,,,
494,96,4.917008807,The Beatles,Yellow Submarine,1966,33759504,14112,,,,
495,30,10.59497587,The Beatles,All You Need Is Love,1967,37228030,14112,,,,
496,55,7.101672245,The Beatles,Penny Lane,1967,311626,14112,,,,
497,1,100,The Beatles,Hey Jude,1968,71297498,14112,,,,
498,60,6.705330284,The Beatles,Lady Madonna,1968,13710931,14112,,,,
499,78,5.63920084,The Beatles,Revolution,1968,12876136,14112,,,,
500,83,5.412631479,The Beatles,Something,1969,37384485,14112,,,,
501,85,5.328236693,The Beatles,Come Together,1969,87467921,14112,,,,
504,6,30.6492728,Dean Martin,Everybody Loves Somebody,1964,9620202,4570,,,,
505,77,5.687430745,Dean Martin,The Door Is Still Open to My Heart,1964,1013765,4570,,,,
506,8,25.34898699,Gale Garnett,We'll Sing in the Sunshine,1964,211353,1522,,,,
507,9,23.45308318,J. Frank Wilson and the Cavaliers,Last Kiss,1964,440810,376,,,,
508,10,21.87761624,The Supremes,Where Did Our Love Go,1964,22205872,5042,,,,
509,33,9.949031357,The Supremes,Baby Love,1964,44450809,5042,,,,
510,20,13.84586851,The Supremes,Stop! In the Name of Love,1965,29765413,5042,,,,
511,37,9.225435188,The Supremes,Back in My Arms Again,1965,2866058,5042,,,,
512,8,25.34898699,The Supremes,You Can't Hurry Love,1966,77355864,5042,,,,
513,30,10.59497587,The Supremes,You Keep Me Hangin' On,1966,11752447,5042,,,,
514,81,5.500471104,The Supremes,My World Is Empty Without You,1966,3451648,5042,,,,
515,28,11.08857401,The Supremes,Love Is Here And Now You're Gone,1967,1402733,5042,,,,
516,29,10.83471074,The Supremes,The Happening,1967,3012733,5042,,,,
517,41,8.621099442,The Supremes,Reflections,1967,3884474,5042,,,,
518,27,11.35794904,The Supremes,Love Child,1968,3357859,5042,,,,
522,84,5.370017132,Al Hirt,Cotton Candy,1964,45946,961,,,,
523,15,16.74093727,Manfred Mann,Do Wah Diddy Diddy,1964,12837467,1907,,,,
524,91,5.093692001,Manfred Mann,The Mighty Quinn,1968,4682816,1907,,,,
525,18,14.84294734,Billy J. Kramer and The Dakotas,Little Children,1964,480702,1328,,,,
526,97,4.883493965,Billy J. Kramer and The Dakotas,Bad to Me,1964,1302962,1328,,,,
527,19,14.32262507,The Ray Charles Singers,Love Me with All Your Heart (Cuando Calienta El Sol),1964,11797,1894,,,,
528,21,13.40711287,The Dixie Cups,Chapel of Love,1964,6887338,963,,,,
529,22,13.00172664,Terry Stafford,Suspicion,1964,747126,603,,,,
530,63,6.49284802,The Dave Clark Five,Because,1964,233636,1911,,,,
531,67,6.234342105,The Dave Clark Five,Can't You See That She's Mine,1964,5883,1911,,,,
532,91,5.093692001,The Dave Clark Five,Do You Love Me,1964,5876,1911,,,,
533,26,11.64441273,The Newbeats,Bread and Butter,1964,469577,566,,,,
534,30,10.59497587,Peter and Gordon,A World Without Love,1964,2782696,951,,,,
535,75,5.787081068,Peter and Gordon,I Go to Pieces,1965,806850,951,,,,
536,82,5.456106733,Peter and Gordon,True Love Ways,1965,612139,951,,,,
537,55,7.101672245,Peter and Gordon,Lady Godiva,1966,246814,951,,,,
539,31,10.36815025,The Honeycombs,Have I the Right?,1964,1006483,2399,,,,
540,32,10.15315495,The Serendipity Singers,Don't Let the Rain Come Down (Crooked Little Man),1964,32585,2064,,,,
542,35,9.570069478,Dusty Springfield,Wishin' and Hopin',1964,3337374,7225,,,,
543,35,9.570069478,Dusty Springfield,You Don't Have To Say You Love Me,1966,9288509,7225,,,,
544,37,9.225435188,Dionne Warwick,Walk On By,1964,8336468,7251,,,,
545,71,6.000251993,Dionne Warwick,Anyone Who Had a Heart,1964,1556585,7251,,,,
546,77,5.687430745,Dionne Warwick,Message To Michael,1966,325409,7251,,,,
